1p5deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
50%,    -14.27,    173.30,      3.23,     40.20,     43.08,    190.84,    227.80,    230.68,    194.59,    233.64,    236.27,      0.00,    187.69,     16.95,     54.14,     57.07,    204.35,    241.28,    244.10,    208.49,    247.24,    249.94
75%,     -0.02,    188.45,     17.34,     54.89,     57.67,    205.81,    243.36,    246.14,    209.46,    249.44,    251.89,      0.00,    188.34,     17.38,     54.94,     57.80,    205.67,    242.67,    245.67,    209.46,    248.84,    251.48
max,    111.64,    301.33,    130.11,    168.83,    171.59,    319.79,    358.51,    361.27,    323.41,    364.23,    366.73,      0.00,    189.69,     18.65,     57.50,     60.21,    208.15,    246.87,    249.63,    211.77,    252.59,    255.09
1p5deg, highQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -31.06,    174.90,     -5.80,     16.05,     20.00,    200.15,    222.00,    225.96,    203.94,    228.91,    232.60,      0.00,    205.96,     25.26,     47.11,     51.06,    231.21,    253.06,    257.02,    235.00,    259.97,    263.66
std,     47.29,     47.98,     47.98,     48.65,     48.59,     48.67,     49.34,     49.27,     48.55,     49.30,     49.22,      0.00,      1.23,      0.99,      1.56,      1.49,      1.87,      2.35,      2.30,      1.81,      2.32,      2.24
min,   -110.11,     95.39,    -85.25,    -64.90,    -60.64,    120.25,    140.60,    144.86,    124.34,    147.56,    151.66,      0.00,    203.60,     23.52,     44.73,     48.67,    227.16,    248.62,    252.65,    231.30,    255.64,    259.41
25%,    -61.81,    143.11,    -37.28,    -16.11,    -12.08,    168.40,    189.72,    193.70,    172.10,    196.63,    200.32,      0.00,    204.88,     24.60,     45.95,     49.92,    230.01,    251.19,    255.11,    233.87,    258.42,    262.07
50%,    -26.72,    178.88,     -0.72,     21.20,     25.12,    204.88,    226.92,    230.78,    208.72,    233.89,    237.46,      0.00,    205.95,     25.41,     47.22,     51.20,    230.93,    252.71,    256.66,    235.05,    259.65,    263.35
75%,    -10.65,    196.07,     14.92,     37.38,     41.31,    221.65,    244.11,    248.03,    225.30,    250.91,    254.48,      0.00,    206.64,     25.95,     48.11,     52.10,    232.47,    254.41,    258.57,    236.25,    261.21,    264.93
max,     99.68,    308.39,    126.95,    150.30,    154.02,    335.66,    359.01,    362.73,    339.69,    366.12,    369.78,      0.00,    208.71,     27.27,     50.62,     54.34,    235.98,    259.33,    263.05,    240.01,    266.44,    270.10
 2deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    229.67,    423.93,    249.83,    287.79,    291.34,    444.09,    482.04,    485.60,    447.69,    487.77,    491.24,      0.00,    194.25,     20.16,     58.11,     61.67,    214.41,    252.37,    255.92,    218.02,    258.10,    261.56
std,     86.23,     87.63,     87.48,     88.52,     88.47,     88.88,     89.92,     89.86,     88.69,     89.77,     89.81,      0.00,      1.68,      1.54,      2.55,      2.49,      2.91,      3.87,      3.81,      2.73,      3.72,      3.75
min,     85.27,    277.02,    104.20,    139.82,    143.86,    295.96,    331.58,    335.61,    300.15,    337.48,    341.40,      0.00,    191.07,     17.08,     53.82,     57.41,    208.60,    245.63,    249.20,    212.53,    251.93,    255.33
25%,    177.81,    370.03,    197.76,    235.70,    239.23,    389.98,    427.92,    431.45,    393.69,    433.78,    437.16,      0.00,    193.17,     19.25,     56.29,     59.90,    212.44,    250.19,    253.67,    216.25,    255.95,    259.32
50%,    236.49,    430.31,    257.39,    295.63,    299.07,    451.21,    489.45,    492.88,    454.65,    495.30,    498.55,      0.00,    194.50,     20.10,     57.85,     61.53,    214.25,    252.19,    255.66,    218.01,    257.67,    261.19
75%,    272.96,    467.58,    293.90,    332.73,    336.05,    488.52,    527.35,    530.67,    491.90,    532.95,    536.14,      0.00,    195.38,     21.08,     59.88,     63.19,    215.86,    254.39,    257.72,    219.61,    259.99,    263.50
max,    457.74,    655.49,    481.94,    522.08,    525.84,    679.69,    719.84,    723.59,    682.51,    725.07,    728.93,      0.00,    197.75,     24.20,     64.34,     68.10,    221.95,    262.10,    265.85,    224.77,    267.33,    271.19
2deg, lowQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    230.28,    443.83,    257.92,    281.62,    285.95,    471.47,    495.17,    499.50,    474.68,    501.94,    505.99,      0.00,    213.55,     27.64,     51.34,     55.67,    241.19,    264.89,    269.22,    244.40,    271.66,    275.71
std,     89.35,     91.23,     90.52,     91.62,     91.55,     92.39,     93.50,     93.42,     92.15,     93.47,     93.43,      0.00,      2.08,      1.44,      2.51,      2.43,      3.24,      4.31,      4.24,      3.03,      4.28,      4.24
min,     78.72,    288.96,    105.12,    126.53,    131.48,    315.36,    336.77,    341.73,    319.38,    343.76,    348.36,      0.00,    209.41,     24.84,     47.13,     51.47,    234.74,    257.13,    261.52,    238.00,    263.92,    267.97
25%,    176.54,    387.74,    204.07,    227.61,    231.73,    415.27,    438.81,    442.93,    418.71,    445.78,    449.55,      0.00,    212.34,     26.43,     49.80,     54.07,    239.14,    262.34,    266.62,    242.31,    269.27,    273.01
