1p5deg, lowQ10, lowO3:
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
International Transportation:       0.00,      0.00,      0.00,      0.00,      0.00
         Global:     187.69,     46.69,      7.18,     53.87,    241.16
1p5deg, highQ10, highO3:
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
         Canada:       3.03,      0.22,      0.02,      0.24,      3.28
            USA:      15.80,      0.62,      1.07,      1.67,     17.47
         Mexico:       2.05,      0.87,      0.43,      1.35,      3.40
Central America:       1.08,      0.21,      0.06,      0.27,      1.34
         Brazil:       8.00,      5.31,      2.02,      7.28,     15.27
Rest of South America:      10.08,      3.73,      1.47,      5.17,     15.21
Northern Africa:       2.29,      0.00,      0.00,      0.00,      2.29
 Western Africa:       8.39,     16.23,      0.02,     16.24,     24.60
 Eastern Africa:       4.42,      1.88,      0.12,      2.00,      6.40
   South Africa:      13.02,     -0.13,      0.00,     -0.13,     12.89
 Western Europe:       8.87,     -0.41,      0.59,      0.19,      9.06
 Central Europe:       4.29,     -0.43,      0.45,      0.02,      4.31
         Turkey:       1.76,     -0.02,      0.00,     -0.02,      1.74
 Ukraine Region:       2.39,     -0.25,      0.31,      0.06,      2.46
   Central Asia:       6.68,      0.03,      0.00,      0.03,      6.70
  Russia region:      11.36,      0.73,      0.27,      1.02,     12.40
    Middle East:      11.00,      0.01,      0.00,      0.01,     11.01
          India:      28.54,      0.15,      0.12,      0.21,     28.73
   Korea region:       0.82,     -0.23,      0.26,      0.04,      0.86
   China region:      31.50,     -0.38,      1.61,      1.21,     32.70
Southeastern Asia:       9.39,      1.34,      0.87,      2.21,     11.59
Indonesia region:       5.06,      0.68,      0.00,      0.68,      5.73
          Japan:       0.76,     -0.16,      0.23,      0.07,      0.83
        Oceania:       7.92,      1.61,      0.20,      1.88,      9.79
Rest of South Asia:       5.58,      0.12,      0.00,      0.12,      5.70
Rest of Southern Africa:       1.87,      4.70,      1.59,      6.26,      8.13
International Transportation:       0.00,      0.00,      0.00,      0.00,      0.00
         Global:     205.95,     36.28,     11.95,     48.22,    253.63
 2deg, lowQ10, lowO3:
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
         Canada:       2.86,      0.09,      0.02,      0.11,      2.97
            USA:      14.92,      1.91,      0.38,      2.35,     17.21
         Mexico:       1.94,      1.20,      0.43,      1.62,      3.56
Central America:       1.02,      0.35,      0.05,      0.41,      1.43
         Brazil:       7.55,      7.43,      1.58,      9.08,     16.60
Rest of South America:       9.52,      5.07,      1.27,      6.32,     15.83
Northern Africa:       2.16,      0.00,      0.00,      0.00,      2.16
 Western Africa:       7.92,     21.80,      0.01,     21.81,     29.72
 Eastern Africa:       4.17,      2.27,      0.12,      2.39,      6.54
   South Africa:      12.30,     -0.13,      0.00,     -0.13,     12.17
 Western Europe:       8.38,     -0.11,      0.18,      0.07,      8.44
 Central Europe:       4.05,     -0.24,      0.08,     -0.17,      3.88
         Turkey:       1.66,     -0.04,      0.00,     -0.04,      1.62
 Ukraine Region:       2.26,     -0.03,      0.00,     -0.03,      2.22
   Central Asia:       6.30,      0.02,      0.00,      0.02,      6.31
  Russia region:      10.73,      0.98,      0.03,      1.01,     11.74
    Middle East:      10.39,      0.00,      0.00,      0.00,     10.39
          India:      26.95,      0.22,      0.00,      0.22,     27.14
   Korea region:       0.78,     -0.01,      0.00,     -0.01,      0.77
   China region:      29.75,      0.03,      1.10,      1.11,     30.81
Southeastern Asia:       8.87,      1.89,      0.76,      2.66,     11.52
Indonesia region:       4.78,      0.97,      0.00,      0.97,      5.74
          Japan:       0.72,      0.05,      0.00,      0.05,      0.77
        Oceania:       7.48,      2.12,      0.21,      2.35,      9.83
Rest of South Asia:       5.27,      0.14,      0.00,      0.14,      5.40
Rest of Southern Africa:       1.76,      6.28,      0.73,      7.05,      8.81
International Transportation:       0.00,      0.00,      0.00,      0.00,      0.00
         Global:     194.50,     52.15,      6.95,     59.22,    253.42
2deg, lowQ10, highO3:
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
         Canada:       3.14,      0.13,      0.02,      0.15,      3.28
            USA:      16.39,      0.65,      1.15,      1.80,     18.16
         Mexico:       2.13,      1.05,      0.39,      1.44,      3.56
Central America:       1.12,      0.27,      0.06,      0.33,      1.47
         Brazil:       8.30,      6.14,      1.95,      8.12,     16.36
Rest of South America:      10.46,      4.43,      1.38,      5.73,     16.22
Northern Africa:       2.37,      0.00,      0.00,      0.00,      2.38
 Western Africa:       8.70,     19.10,      0.02,     19.12,     27.80
 Eastern Africa:       4.58,      2.03,      0.12,      2.14,      6.72
   South Africa:      13.51,     -0.13,      0.00,     -0.13,     13.38
 Western Europe:       9.20,     -0.64,      0.84,      0.21,      9.40
 Central Europe:       4.45,     -0.48,      0.49,      0.01,      4.45
         Turkey:       1.82,     -0.03,      0.00,     -0.03,      1.80
 Ukraine Region:       2.48,     -0.28,      0.35,      0.07,      2.55
   Central Asia:       6.93,      0.01,      0.00,      0.02,      6.93
  Russia region:      11.79,      0.47,      0.46,      0.94,     12.72
    Middle East:      11.42,      0.00,      0.00,      0.00,     11.42
          India:      29.61,      0.18,      0.12,      0.23,     29.82
   Korea region:       0.85,     -0.26,      0.29,      0.03,      0.89
   China region:      32.68,     -0.44,      1.73,      1.30,     33.96
Southeastern Asia:       9.74,      1.46,      0.87,      2.34,     12.04
Indonesia region:       5.25,      0.82,      0.00,      0.82,      6.07
          Japan:       0.79,     -0.18,      0.26,      0.07,      0.86
        Oceania:       8.22,      1.89,      0.22,      2.14,     10.36
Rest of South Asia:       5.79,      0.12,      0.00,      0.12,      5.89
Rest of Southern Africa:       1.94,      5.84,      0.92,      6.72,      8.65
International Transportation:       0.00,      0.00,      0.00,      0.00,      0.00
         Global:     213.68,     41.99,     11.68,     53.36,    266.90
2deg, highQ10, lowO3:
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
         Canada:       2.82,      0.12,      0.02,      0.14,      2.96
            USA:      14.70,      1.97,      0.38,      2.36,     17.03
         Mexico:       1.91,      1.19,      0.43,      1.61,      3.52
Central America:       1.01,      0.35,      0.05,      0.41,      1.41
         Brazil:       7.45,      7.40,      1.59,      9.06,     16.44
Rest of South America:       9.39,      5.05,      1.27,      6.28,     15.64
Northern Africa:       2.13,      0.00,      0.00,      0.00,      2.13
 Western Africa:       7.81,     21.58,      0.01,     21.60,     29.45
 Eastern Africa:       4.11,      2.28,      0.12,      2.39,      6.49
   South Africa:      12.12,     -0.13,      0.00,     -0.13,     12.00
 Western Europe:       8.26,     -0.08,      0.16,      0.08,      8.34
 Central Europe:       3.99,     -0.23,      0.07,     -0.16,      3.83
         Turkey:       1.64,     -0.03,      0.00,     -0.03,      1.60
 Ukraine Region:       2.23,     -0.03,      0.00,     -0.03,      2.20
   Central Asia:       6.21,      0.02,      0.00,      0.02,      6.24
  Russia region:      10.58,      1.06,      0.03,      1.07,     11.66
    Middle East:      10.24,      0.00,      0.00,      0.00,     10.25
          India:      26.57,      0.22,      0.00,      0.22,     26.77
   Korea region:       0.77,     -0.01,      0.00,     -0.01,      0.76
   China region:      29.33,      0.08,      1.07,      1.14,     30.43
Southeastern Asia:       8.74,      1.89,      0.77,      2.67,     11.40
Indonesia region:       4.71,      0.97,      0.00,      0.97,      5.68
          Japan:       0.71,      0.05,      0.00,      0.05,      0.76
        Oceania:       7.37,      2.12,      0.20,      2.34,      9.71
Rest of South Asia:       5.20,      0.15,      0.00,      0.15,      5.33
Rest of Southern Africa:       1.74,      6.25,      0.74,      7.03,      8.76
International Transportation:       0.00,      0.00,      0.00,      0.00,      0.00
         Global:     191.73,     51.96,      6.95,     59.03,    250.95
2deg, highQ10, highO3:
