Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-Ref-SPA0-V17,CAN,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,CAN,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,CAN,Emissions|CH4|Waste,Mt CH4/yr,1.31,1.39,1.61,1.76,1.85,1.91,1.92,1.92,1.87,1.76,1.62
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4,Mt CH4/yr,7.15,6.67,6.60,6.93,7.06,6.76,7.06,8.54,8.33,8.47,8.59
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.46,0.38,0.27,0.13,0.08,0.04,0.04,0.04,0.03,0.02,0.02
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Energy Supply,Mt CH4/yr,3.07,2.68,2.58,3.02,3.32,3.17,3.65,5.32,5.32,5.68,5.99
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,3.56,3.10,2.91,3.21,3.43,3.24,3.72,5.38,5.37,5.71,6.02
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Land Use,Mt CH4/yr,1.99,2.01,2.03,2.02,1.98,1.94,1.87,1.80,1.74,1.67,1.61
