Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4,Mt CH4/yr,19,20,19,18,18,19,18,18,18,18,18
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.14,0.15,0.15,0.15,0.14,0.11,0.08,0.06,0.05,0.04,0.03
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.67,0.73,0.78,0.68,0.57,0.57,0.52,0.45,0.35,0.24,0.13
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Energy Supply,Mt CH4/yr,0.47,0.51,0.56,0.48,0.39,0.44,0.42,0.38,0.30,0.19,0.09
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Land Use,Mt CH4/yr,16.32,16.92,16.74,15.87,16.05,17.05,15.90,16.21,16.53,16.82,17.02
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.20,0.24,0.28,0.31,0.35,0.39,0.40,0.39,0.38,0.36,0.34
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,11.90,13.45,14.04,14.67,14.60,14.29,14.72,15.12,15.48,15.79,16.07
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.29,0.32,0.34,0.33,0.33,0.32,0.32,0.33,0.33,0.33,0.34
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,11.32,12.84,13.46,14.19,14.16,13.90,14.33,14.73,15.09,15.40,15.68
