Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.29,0.29,0.24,0.15,0.11,0.07,0.07,0.06,0.06,0.05,0.05
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,3.34,2.42,1.57,0.02,0.32,1.72,0.13,0.08,0.07,0.11,0.09
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.87,0.82,0.84,0.87,0.78,0.65,0.65,0.62,0.60,0.56,0.53
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Other,Mt CH4/yr,0.03,0.03,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,BRA,Emissions|CH4|Waste,Mt CH4/yr,2,2,1.83,1.41,1.28,1.25,1.20,1.16,1.10,1.03,0.96
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4,Mt CH4/yr,4.86,4.54,3.86,2.54,1.79,1.54,1.49,1.47,1.45,1.41,1.36
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,2.16,1.69,1.25,0.64,0.35,0.19,0.14,0.13,0.12,0.10,0.08
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Energy Supply,Mt CH4/yr,2.12,1.65,1.21,0.60,0.32,0.16,0.11,0.09,0.08,0.06,0.05
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Land Use,Mt CH4/yr,1.38,1.45,1.35,1.27,1.16,1.06,1.04,1.01,0.99,0.96,0.93
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.37,1.44,1.34,1.25,1.15,1.04,1.02,1.00,0.98,0.95,0.92
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.28,0.29,0.31,0.28,0.25,0.24,0.24,0.23,0.22,0.22,0.21
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.10,1.15,1.02,0.97,0.90,0.80,0.79,0.77,0.75,0.73,0.71
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CAN,Emissions|CH4|Waste,Mt CH4/yr,1.31,1.39,1.26,0.64,0.27,0.29,0.31,0.33,0.34,0.35,0.35
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4,Mt CH4/yr,7.15,6.66,5.06,3.31,2.58,2.26,2.03,1.83,1.73,1.64,1.55
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0,0,0,0,0.28,0.36,0.30,0.20,0.17,0.16,0.14
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,3.56,3.08,1.96,1.07,0.81,0.68,0.53,0.40,0.37,0.35,0.32
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Energy Supply,Mt CH4/yr,3.07,2.67,1.66,0.85,0.50,0.31,0.22,0.20,0.19,0.18,0.18
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Land Use,Mt CH4/yr,1.99,2.01,1.76,1.56,1.40,1.25,1.19,1.13,1.07,1.02,0.96
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.96,1.98,1.73,1.53,1.37,1.21,1.16,1.10,1.05,0.99,0.94
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0,0,0,0,0,0.19,0.18,0.16,0.15,0.14,0.12
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.55,1.57,1.36,1.26,1.14,1.02,0.98,0.93,0.89,0.85,0.81
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Other,Mt CH4/yr,0.02,0.02,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CEU,Emissions|CH4|Waste,Mt CH4/yr,2,2,1.33,0.68,0.37,0.32,0.32,0.30,0.29,0.27,0.26
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4,Mt CH4/yr,60.22,75.12,64.32,39.77,28.62,22.56,19.59,17.35,15.74,14.23,12.94
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.13,0.21,0.18,0.14,0.09,0.07,0.04,0.02,0.01,0.01,0.00
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,3,4,3,2,1.46,0.99,0.74,0.40,0.32,0.27,0.24
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.05,0.07,0.10,0.10,0.07,0.04,0.02,0.02,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.05,0.07,0.10,0.10,0.07,0.04,0.02,0.02,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,28.55,41.97,32.69,13.17,5.86,3.30,2.12,1.35,0.99,0.67,0.51
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Energy Supply,Mt CH4/yr,24.95,38.01,29.18,10.96,4.10,2.18,1.32,0.91,0.65,0.38,0.26
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Land Use,Mt CH4/yr,22.13,22.69,21.50,18.63,15.67,12.72,11.60,10.83,10.08,9.38,8.67
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,20.91,22.37,21.28,18.43,14.94,12.37,11.52,10.72,9.95,9.22,8.51
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,1.35,1.57,1.72,1.64,1.52,1.41,1.30,1.20,1.10,1.01,0.92
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,10.66,11.63,11.40,10.94,9.94,8.97,8.48,8.01,7.56,7.12,6.70
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,8.90,9.17,8.16,5.85,3.48,1.99,1.74,1.51,1.30,1.09,0.89
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,1.20,0.31,0.19,0.17,0.71,0.33,0.06,0.09,0.11,0.15,0.14
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Other,Mt CH4/yr,0.12,0,0,0,0,0,0,0,0,0,0
IMAGE,SSP2-LF-SPA0-V17,CHN,Emissions|CH4|Waste,Mt CH4/yr,9.49,10.39,10.05,7.91,7.03,6.50,5.83,5.15,4.65,4.17,3.75
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4,Mt CH4/yr,8.85,9.46,10.75,12.01,14.02,14.12,14.21,15.02,14.82,14.86,14.66
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.02,0.02
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,1,1,1,1,1,1,1,1,1,0.70,0.48
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0,0,0,0,0,0,0,0,0,0,0
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.81,0.93,1.10,1.16,1.19,1.17,1.28,1.26,1.16,0.97,0.70
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Energy Supply,Mt CH4/yr,0.02,0.02,0.04,0.05,0.08,0.14,0.22,0.23,0.24,0.22,0.17
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Land Use,Mt CH4/yr,6.95,7.26,8.09,9.13,10.81,10.61,10.33,10.93,10.68,10.80,10.80
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.05,0.06,0.06,0.06
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,6.22,6.68,7.18,8.19,9.17,9.70,9.89,10.04,10.16,10.24,10.28
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.18,0.18,0.18,0.19,0.20,0.20,0.21,0.21,0.21,0.21,0.21
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,5.83,6.27,6.75,7.81,8.84,9.40,9.60,9.76,9.88,9.97,10.02
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.21,0.22,0.24,0.19,0.14,0.10,0.09,0.08,0.07,0.06,0.05
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.15,0.04,0.40,0.47,1.25,0.54,0.09,0.59,0.24,0.31,0.30
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.56,0.53,0.48,0.43,0.35,0.32,0.30,0.25,0.22,0.20,0.16
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Other,Mt CH4/yr,0.07,0.08,0.07,0.07,0.06,0.03,0.03,0.03,0.04,0.04,0.03
IMAGE,SSP2-LF-SPA0-V17,EAF,Emissions|CH4|Waste,Mt CH4/yr,1.10,1.26,1.56,1.71,1.98,2.26,2.49,2.66,2.77,2.85,2.90
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4,Mt CH4/yr,26.87,29.56,28.71,24.76,21.63,19.61,18.61,17.81,16.90,15.88,14.88
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.04,0.05,0.06,0.07,0.07,0.08,0.08,0.06,0.05,0.04,0.03
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,1.69,1.76,1.77,1.68,1.78,1.58,1.25,1.05,0.85,0.65,0.50
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.03,0.04,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.03,0.04,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,5.07,6.05,5.96,4.37,2.95,2.40,1.90,1.69,1.37,1.05,0.81
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Energy Supply,Mt CH4/yr,3.30,4.20,4.08,2.57,1.06,0.71,0.56,0.56,0.45,0.34,0.26
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Land Use,Mt CH4/yr,16.69,17.97,16.73,14.56,12.65,10.92,10.32,9.82,9.34,8.86,8.38
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.21,0.25,0.32,0.37,0.38,0.38,0.36,0.34,0.33,0.30,0.28
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,15.92,17.27,15.97,13.81,11.76,10.17,9.67,9.20,8.75,8.31,7.87
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.86,0.93,0.88,0.63,0.45,0.43,0.40,0.37,0.35,0.33,0.30
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,11.22,12.32,11.20,10.40,9.21,8.14,7.80,7.48,7.19,6.91,6.64
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,3.84,4.02,3.90,2.78,2.11,1.60,1.47,1.35,1.21,1.07,0.92
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.11,0.04,0.06,0.03,0.19,0.08,0.02,0.02,0.02,0.02,0.02
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.45,0.41,0.37,0.35,0.32,0.29,0.27,0.26,0.25,0.22,0.20
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,INDIA,Emissions|CH4|Waste,Mt CH4/yr,5.10,5.54,6.01,5.81,6.01,6.28,6.36,6.27,6.17,5.95,5.67
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4,Mt CH4/yr,8.80,11.63,11.05,7.52,5.35,4.55,4.17,3.80,3.44,3.08,2.79
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,1,1,1,0,0,0,0,0,0.14,0.10,0.07
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.01
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.01
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,2.40,2.80,3.18,2.24,1.29,0.94,0.72,0.57,0.42,0.28,0.20
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Energy Supply,Mt CH4/yr,1.87,2.23,2.60,1.75,0.85,0.64,0.48,0.37,0.26,0.17,0.13
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use,Mt CH4/yr,4.48,6.77,5.60,3.32,2.04,1.58,1.45,1.31,1.22,1.12,1.04
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.20,0.22,0.25,0.26,0.26,0.25,0.23,0.22,0.21,0.19,0.18
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,3.45,3.70,3.40,2.48,1.69,1.20,1.12,1.04,0.96,0.89,0.81
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.09,0.10,0.11,0.09,0.06,0.06,0.06,0.05,0.05,0.04,0.04
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.81,0.90,0.81,0.74,0.68,0.62,0.60,0.59,0.57,0.55,0.54
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,3,3,2,2,1,0.52,0.46,0.40,0.34,0.29,0.24
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.81,2.83,1.93,0.57,0.09,0.11,0.08,0.04,0.04,0.03,0.04
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Waste,Mt CH4/yr,1.91,2.06,2.26,1.96,2.01,2.03,1.99,1.91,1.80,1.67,1.54
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4,Mt CH4/yr,2,2,2,1,1,1,1,1,1,1,0
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.37,0.35,0.26,0.20,0.14,0.13,0.11,0.10,0.10,0.07,0.05
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Supply,Mt CH4/yr,0.32,0.31,0.22,0.16,0.12,0.11,0.09,0.09,0.09,0.06,0.04
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use,Mt CH4/yr,1.35,1.34,1.21,0.92,0.71,0.55,0.50,0.45,0.40,0.34,0.30
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.34,1.33,1.20,0.92,0.70,0.55,0.49,0.44,0.39,0.34,0.29
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.18,0.18,0.16,0.12,0.10,0.08,0.07,0.06,0.06,0.05,0.04
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.41,0.41,0.35,0.31,0.27,0.23,0.21,0.19,0.17,0.15,0.13
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.75,0.75,0.69,0.49,0.34,0.24,0.22,0.19,0.17,0.14,0.11
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Waste,Mt CH4/yr,0.26,0.26,0.24,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4,Mt CH4/yr,1.88,1.94,1.77,1.37,1.04,0.85,0.75,0.67,0.62,0.55,0.49
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0,0,0,0,0.09,0.09,0.07,0.07,0.06,0.05,0.05
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
