Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Waste,Mt CH4/yr,1.31,1.39,0.91,0.64,0.47,0.29,0.31,0.33,0.34,0.35,0.35
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4,Mt CH4/yr,7.15,6.67,4.70,3.06,2.50,2.08,1.89,1.79,1.67,1.63,1.52
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.46,0.38,0.27,0.13,0.14,0.10,0.14,0.16,0.15,0.15,0.14
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Energy Supply,Mt CH4/yr,3.07,2.68,1.51,0.86,0.56,0.40,0.24,0.20,0.18,0.21,0.19
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,3.56,3.10,1.83,1.03,0.73,0.52,0.40,0.37,0.33,0.36,0.33
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Land Use,Mt CH4/yr,1.99,2.01,1.87,1.59,1.39,1.24,1.17,1.11,1.05,0.99,0.93
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.96,1.98,1.83,1.55,1.36,1.20,1.14,1.08,1.02,0.97,0.91
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.41,0.41,0.39,0.30,0.23,0.19,0.18,0.16,0.15,0.14,0.12
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.55,1.57,1.44,1.25,1.13,1.01,0.96,0.92,0.87,0.83,0.79
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Other,Mt CH4/yr,0.02,0.02,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CEU,Emissions|CH4|Waste,Mt CH4/yr,1.59,1.56,1.00,0.43,0.38,0.32,0.32,0.30,0.29,0.27,0.26
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4,Mt CH4/yr,60,75,84,44,31,23,20,18,16,14,13
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.13,0.21,0.21,0.14,0.08,0.06,0.05,0.03,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,3.30,3.57,3.22,1.53,0.99,0.60,0.55,0.38,0.31,0.26,0.20
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.05,0.07,0.12,0.13,0.15,0.12,0.07,0.03,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.05,0.07,0.12,0.13,0.15,0.12,0.07,0.03,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Energy Supply,Mt CH4/yr,25,38,45,12,5.05,2.38,1.25,0.94,0.65,0.43,0.26
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,29,42,49,14,6.41,3.21,1.92,1.38,0.99,0.72,0.48
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Land Use,Mt CH4/yr,22,23,24,20,16,13,12,11,10,9.36,8.62
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,21,22,24,20,16,12,12,11,9.97,9.22,8.50
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,1.35,1.57,1.86,1.67,1.53,1.41,1.30,1.20,1.10,1.01,0.92
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,11,12,13,11,9.99,9.02,8.52,8.03,7.57,7.12,6.69
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,8.90,9.17,9.36,7.10,4.59,2.01,1.74,1.52,1.30,1.09,0.89
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,1.20,0.30,0.18,0.18,0.15,0.43,0.15,0.36,0.33,0.13,0.11
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Other,Mt CH4/yr,0.12,0.11,0.34,0.31,0.13,0.04,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CHN,Emissions|CH4|Waste,Mt CH4/yr,9.49,10,11,9.85,8.27,6.80,5.83,5.15,4.65,4.17,3.75
