Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.13,0.12,0.11,0.09,0.09,0.08,0.07,0.06,0.06,0.06,0.05
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Energy Supply,Mt CH4/yr,0.44,0.47,0.31,0.22,0.17,0.10,0.06,0.06,0.03,0.03,0.02
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.59,0.61,0.45,0.34,0.30,0.20,0.15,0.13,0.10,0.09,0.08
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Land Use,Mt CH4/yr,0.75,0.77,0.63,0.50,0.39,0.29,0.27,0.25,0.23,0.21,0.20
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,0.75,0.76,0.63,0.50,0.39,0.29,0.27,0.25,0.23,0.21,0.19
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.25,0.26,0.23,0.21,0.19,0.17,0.16,0.16,0.15,0.15,0.14
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.46,0.47,0.37,0.25,0.18,0.10,0.09,0.07,0.06,0.05,0.04
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4|Waste,Mt CH4/yr,0.54,0.55,0.54,0.50,0.45,0.38,0.34,0.30,0.27,0.24,0.21
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4,Mt CH4/yr,12,15,11,9.90,9.58,8.96,8.37,8.07,7.16,6.45,5.96
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.05,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.03
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.04,0.04,0.06,0.06,0.06,0.06,0.04,0.02,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.04,0.04,0.06,0.06,0.06,0.06,0.04,0.02,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Energy Supply,Mt CH4/yr,9.07,11,7.11,5.28,4.78,4.31,3.59,3.14,2.07,1.25,0.68
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,9.17,11,7.22,5.39,4.89,4.41,3.68,3.21,2.13,1.30,0.73
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Land Use,Mt CH4/yr,1.72,1.91,2.30,2.51,2.70,2.76,2.93,3.09,3.23,3.35,3.46
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.69,1.89,2.28,2.49,2.67,2.73,2.90,3.06,3.20,3.32,3.43
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.06,0.07,0.10,0.10,0.11,0.12,0.12,0.13,0.13,0.14,0.14
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.47,1.66,2.04,2.26,2.45,2.55,2.72,2.88,3.02,3.15,3.26
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.16,0.15,0.14,0.12,0.11,0.07,0.06,0.05,0.04,0.03,0.03
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,ME,Emissions|CH4|Waste,Mt CH4/yr,1.50,1.69,1.76,1.98,1.98,1.77,1.74,1.75,1.78,1.78,1.75
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4,Mt CH4/yr,6.16,6.26,6.34,4.44,4.11,3.44,3.14,3.12,3.04,3.00,2.92
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.09,0.08,0.07,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Energy Supply,Mt CH4/yr,1.84,2.02,1.95,0.70,0.40,0.26,0.14,0.14,0.12,0.11,0.08
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,1.94,2.11,2.04,0.77,0.46,0.31,0.20,0.20,0.18,0.17,0.13
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Land Use,Mt CH4/yr,3.31,3.16,3.18,2.77,2.80,2.43,2.32,2.31,2.26,2.23,2.21
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,2.55,2.60,2.76,2.40,2.27,2.12,2.11,2.09,2.06,2.03,2.00
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.24,0.24,0.27,0.24,0.23,0.22,0.22,0.23,0.23,0.23,0.22
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,2.30,2.35,2.49,2.15,2.03,1.90,1.88,1.86,1.83,1.80,1.77
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.47,0.27,0.13,0.09,0.30,0.09,0.01,0.02,0.01,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.26,0.26,0.26,0.24,0.19,0.16,0.16,0.15,0.13,0.13,0.14
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,MEX,Emissions|CH4|Waste,Mt CH4/yr,0.91,0.98,1.11,0.90,0.84,0.69,0.61,0.61,0.60,0.59,0.58
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4,Mt CH4/yr,5.57,5.96,6.57,4.15,3.35,2.95,2.68,2.66,2.58,2.52,2.49
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.12,0.09,0.07,0.04,0.04,0.03,0.05,0.06,0.05,0.06,0.05
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Energy Supply,Mt CH4/yr,3.26,3.49,3.77,1.56,0.82,0.61,0.31,0.26,0.18,0.12,0.08
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,3.39,3.59,3.86,1.62,0.89,0.66,0.38,0.33,0.25,0.18,0.14
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Land Use,Mt CH4/yr,1.25,1.35,1.51,1.38,1.35,1.30,1.35,1.40,1.44,1.48,1.51
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.24,1.34,1.51,1.38,1.35,1.30,1.35,1.40,1.44,1.48,1.51
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.10,1.21,1.36,1.25,1.25,1.22,1.28,1.33,1.37,1.41,1.44
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.10,0.10,0.10,0.08,0.06,0.04,0.03,0.03,0.03,0.03,0.02
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,NAF,Emissions|CH4|Waste,Mt CH4/yr,0.93,1.01,1.19,1.14,1.11,0.99,0.94,0.92,0.88,0.85,0.83
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4,Mt CH4/yr,7.37,7.63,6.80,5.99,5.62,5.11,4.62,4.63,4.63,4.44,4.29
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.05,0.05,0.02,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Energy Supply,Mt CH4/yr,1.57,1.59,1.11,0.63,0.35,0.24,0.22,0.26,0.28,0.28,0.21
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,1.64,1.65,1.15,0.65,0.36,0.26,0.23,0.28,0.29,0.29,0.22
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Land Use,Mt CH4/yr,5.13,5.32,5.17,5.08,5.05,4.68,4.20,4.15,4.13,3.94,3.86
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.04,0.04,0.05,0.06,0.07,0.06,0.06,0.06,0.06,0.05
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,4.31,4.52,4.33,4.29,4.03,3.76,3.72,3.67,3.61,3.54,3.47
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.33,0.35,0.33,0.32,0.27,0.25,0.25,0.24,0.24,0.23,0.22
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,3.96,4.14,3.98,3.95,3.74,3.50,3.46,3.42,3.36,3.31,3.24
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.03,0.02,0.09,0.07,0.46,0.42,0.01,0.02,0.14,0.02,0.00
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.76,0.75,0.71,0.67,0.49,0.43,0.41,0.41,0.32,0.32,0.33
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,OCE,Emissions|CH4|Waste,Mt CH4/yr,0.60,0.66,0.48,0.27,0.21,0.18,0.19,0.20,0.21,0.21,0.21
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4,Mt CH4/yr,2.88,3.39,3.54,2.86,2.61,2.27,2.00,1.96,1.89,1.84,1.74
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.16,0.17,0.16,0.15,0.12,0.09,0.08,0.09,0.08,0.07,0.06
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.00,0.00,0.01,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.00,0.00,0.01,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Energy Supply,Mt CH4/yr,0.43,0.56,0.82,0.42,0.28,0.19,0.07,0.05,0.05,0.05,0.04
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.60,0.74,1.00,0.60,0.44,0.29,0.17,0.15,0.13,0.13,0.10
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Land Use,Mt CH4/yr,1.60,1.92,1.71,1.41,1.36,1.26,1.16,1.14,1.11,1.10,1.06
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.31,1.36,1.47,1.29,1.20,1.10,1.09,1.07,1.05,1.02,1.00
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.04,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.16,1.20,1.31,1.16,1.10,1.03,1.01,1.00,0.98,0.97,0.95
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.12,0.12,0.12,0.10,0.07,0.04,0.04,0.03,0.03,0.03,0.02
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.24,0.51,0.18,0.06,0.09,0.10,0.02,0.02,0.02,0.03,0.01
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RCAM,Emissions|CH4|Waste,Mt CH4/yr,0.66,0.72,0.82,0.84,0.80,0.69,0.63,0.62,0.60,0.57,0.54
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4,Mt CH4/yr,5.47,5.32,7.11,5.99,7.08,4.43,4.28,4.40,4.49,4.56,4.56
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.49,0.56,0.54,0.47,0.44,0.40,0.42,0.44,0.42,0.35,0.28
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Energy Supply,Mt CH4/yr,0.19,0.11,0.28,0.08,0.06,0.06,0.07,0.11,0.15,0.17,0.10
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.70,0.69,0.85,0.57,0.52,0.48,0.50,0.57,0.59,0.54,0.40
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Land Use,Mt CH4/yr,4.15,3.92,5.33,4.35,5.37,2.68,2.42,2.38,2.38,2.45,2.56
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.01,0.01,0.02,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.04
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.64,1.74,2.09,1.99,1.90,1.66,1.56,1.54,1.59,1.65,1.70
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.04,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.48,1.58,1.91,1.82,1.76,1.55,1.46,1.45,1.50,1.56,1.62
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.12,0.12,0.13,0.11,0.09,0.05,0.04,0.04,0.04,0.03,0.03
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,1.07,0.79,1.97,1.20,2.52,0.10,0.00,0.00,0.03,0.04,0.07
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,1.43,1.36,1.25,1.13,0.90,0.87,0.81,0.79,0.71,0.71,0.74
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Other,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RSAF,Emissions|CH4|Waste,Mt CH4/yr,0.62,0.72,0.93,1.07,1.20,1.27,1.35,1.45,1.51,1.56,1.59
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4,Mt CH4/yr,15,16,19,15,16,14,12,12,12,12,12
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.15,0.17,0.17,0.13,0.13,0.10,0.10,0.11,0.09,0.08,0.07
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Energy Supply,Mt CH4/yr,2.71,2.84,4.52,2.02,1.51,1.07,0.77,0.65,0.53,0.45,0.29
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,2.90,3.05,4.75,2.21,1.70,1.21,0.89,0.77,0.64,0.54,0.37
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Land Use,Mt CH4/yr,10,12,13,11,13,12,10,10,10,10,10
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.09,0.10,0.13,0.15,0.19,0.20,0.20,0.19,0.19,0.17,0.16
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,8.96,9.74,11,10,9.77,9.30,9.34,9.36,9.36,9.35,9.32
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.20,0.22,0.25,0.22,0.21,0.20,0.21,0.21,0.21,0.21,0.21
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,8.30,9.06,10,9.54,9.29,8.93,8.99,9.03,9.05,9.05,9.03
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.46,0.46,0.46,0.37,0.27,0.16,0.14,0.13,0.11,0.10,0.08
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.75,1.19,1.01,0.46,2.06,1.71,0.08,0.22,0.25,0.24,0.21
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.69,0.66,0.67,0.66,0.52,0.47,0.40,0.37,0.32,0.34,0.33
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Other,Mt CH4/yr,0.02,0.02,0.02,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RSAM,Emissions|CH4|Waste,Mt CH4/yr,1.42,1.53,1.72,1.74,1.69,1.49,1.39,1.36,1.31,1.25,1.18
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4,Mt CH4/yr,13,14,15,13,11,9.71,9.39,9.16,8.71,8.33,7.87
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.38,0.42,0.54,0.56,0.60,0.50,0.43,0.37,0.29,0.25,0.22
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.00,0.00
