1p5deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,     -9.66,    179.44,     88.78,     42.57,    102.89,    277.87,    231.67,    291.99,    285.93,    237.83,    300.48,      0.00,    189.10,     98.43,     52.23,    112.55,    287.53,    241.33,    301.65,    295.58,    247.48,    310.14
std,     46.64,     47.08,     48.50,     48.10,     48.68,     48.93,     48.53,     49.10,     48.67,     48.37,     48.90,      0.00,      1.08,      2.79,      1.69,      2.81,      3.05,      2.19,      3.10,      2.94,      2.02,      3.00
min,    -85.10,    103.08,     11.43,    -34.83,     25.33,    199.61,    153.36,    213.51,    208.55,    159.80,    222.78,      0.00,    187.29,     92.81,     49.60,    106.88,    281.93,    237.68,    295.99,    289.57,    244.27,    304.14
25%,    -44.01,    145.21,     50.39,      5.91,     64.43,    240.05,    195.14,    254.09,    248.55,    201.36,    262.97,      0.00,    188.20,     96.43,     51.01,    110.43,    285.72,    239.58,    299.55,    293.79,    245.94,    308.32
50%,     -5.95,    182.86,     92.71,     46.88,    106.89,    281.49,    235.65,    295.66,    289.17,    241.69,    303.85,      0.00,    189.14,     99.08,     52.38,    113.34,    287.38,    241.20,    301.53,    295.65,    247.11,    310.05
75%,      9.89,    200.26,    110.87,     63.04,    125.01,    301.08,    253.24,    315.21,    308.73,    259.14,    323.22,      0.00,    189.84,    100.72,     53.26,    114.78,    289.35,    242.64,    303.41,    297.77,    248.68,    312.39
max,    120.90,    311.92,    224.47,    176.83,    238.72,    415.49,    367.85,    429.74,    423.28,    373.40,    438.15,      0.00,    191.02,    103.57,     55.94,    117.82,    294.59,    246.95,    308.84,    302.38,    252.50,    317.25
1p5deg, lowQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -20.58,    186.79,     84.24,     24.60,     93.05,    291.60,    231.97,    300.42,    300.15,    238.95,    309.93,      0.00,    207.37,    104.82,     45.18,    113.63,    312.19,    252.55,    321.00,    320.73,    259.54,    330.51
std,     47.76,     48.55,     49.72,     49.21,     49.95,     50.49,     49.99,     50.72,     50.18,     49.86,     50.42,      0.00,      1.25,      2.91,      1.65,      2.99,      3.44,      2.48,      3.57,      3.24,      2.39,      3.38
min,   -100.38,    106.28,      2.30,    -57.22,     10.97,    208.96,    149.43,    217.62,    218.19,    156.59,    227.49,      0.00,    204.95,     98.52,     42.81,    107.37,    305.39,    247.79,    314.24,    314.15,    255.03,    323.80
25%,    -53.09,    153.63,     46.60,    -10.18,     55.10,    254.01,    196.86,    262.51,    263.04,    203.90,    272.67,      0.00,    206.31,    102.81,     44.00,    111.37,    310.21,    250.87,    318.81,    318.88,    257.96,    328.37
50%,    -16.57,    190.46,     88.44,     28.96,     97.22,    295.39,    235.99,    304.24,    303.66,    242.86,    313.47,      0.00,    207.24,    105.40,     45.31,    114.45,    312.51,    252.25,    320.99,    320.68,    259.37,    330.62
75%,      0.83,    209.39,    108.06,     46.92,    117.04,    316.62,    255.48,    325.60,    325.11,    262.45,    335.10,      0.00,    208.05,    107.25,     46.34,    116.02,    313.80,    253.92,    322.88,    322.74,    260.85,    332.61
max,    110.49,    321.10,    220.65,    159.52,    229.70,    431.26,    370.13,    440.31,    439.35,    376.91,    449.38,      0.00,    210.61,    110.16,     49.03,    119.21,    320.77,    259.64,    329.82,    328.86,    266.42,    338.89
1p5deg, highQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -18.91,    168.73,     80.00,     35.00,     94.17,    267.64,    222.64,    281.81,    275.55,    228.72,    290.16,      0.00,    187.64,     98.91,     53.91,    113.08,    286.55,    241.55,    300.72,    294.46,    247.63,    309.07
std,     46.40,     46.81,     48.12,     47.79,     48.30,     48.52,     48.19,     48.70,     48.28,     48.07,     48.48,      0.00,      1.05,      2.71,      1.61,      2.74,      2.90,      2.08,      2.95,      2.78,      1.97,      2.84
min,    -93.64,     92.67,      2.40,    -41.48,     16.76,    188.53,    144.65,    202.89,    196.62,    150.87,    211.30,      0.00,    185.75,     93.14,     51.49,    107.23,    280.95,    238.11,    295.05,    288.73,    244.33,    303.30
