1p5deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
25%,    -51.54,    136.23,     41.82,     -0.04,     55.72,    229.68,    187.94,    243.71,    237.68,    194.15,    252.29,      0.00,    186.83,     97.22,     52.60,    111.03,    284.94,    239.95,    298.90,    293.08,    246.23,    307.43
50%,    -14.27,    173.30,     84.79,     40.20,     99.10,    272.39,    227.80,    286.71,    280.01,    233.64,    294.69,      0.00,    187.69,     99.66,     54.14,    113.96,    286.38,    241.28,    300.53,    294.22,    247.24,    308.82
75%,     -0.02,    188.45,    101.52,     54.89,    115.67,    290.00,    243.36,    304.15,    297.60,    249.44,    312.31,      0.00,    188.34,    101.13,     54.94,    115.03,    288.40,    242.67,    302.44,    296.25,    248.84,    311.00
max,    111.64,    301.33,    214.94,    168.83,    229.15,    404.63,    358.51,    418.84,    412.15,    364.23,    426.88,      0.00,    189.69,    103.30,     57.50,    117.51,    292.99,    246.87,    307.20,    300.51,    252.59,    315.23
1p5deg, highQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -31.06,    174.90,     74.77,     16.05,     83.67,    280.73,    222.00,    289.62,    289.25,    228.91,    299.10,      0.00,    205.96,    105.83,     47.11,    114.72,    311.79,    253.06,    320.68,    320.31,    259.97,    330.16
std,     47.29,     47.98,     49.13,     48.65,     49.36,     49.81,     49.34,     50.04,     49.58,     49.30,     49.83,      0.00,      1.23,      2.83,      1.56,      2.92,      3.26,      2.35,      3.39,      3.13,      2.32,      3.26
min,   -110.11,     95.39,     -6.22,    -64.90,      2.34,    199.27,    140.60,    207.84,    208.44,    147.56,    217.80,      0.00,    203.60,     99.64,     44.73,    108.64,    305.60,    248.62,    314.60,    314.07,    255.64,    323.88
25%,    -61.81,    143.11,     38.90,    -16.11,     47.80,    244.92,    189.72,    253.82,    253.42,    196.63,    263.16,      0.00,    204.88,    103.91,     45.95,    112.49,    309.76,    251.19,    318.30,    318.55,    258.42,    328.25
50%,    -26.72,    178.88,     79.61,     21.20,     88.60,    285.59,    226.92,    294.59,    293.83,    233.89,    303.75,      0.00,    205.95,    106.58,     47.22,    115.62,    312.07,    252.71,    320.59,    320.20,    259.65,    330.06
75%,    -10.65,    196.07,     97.52,     37.38,    106.71,    304.24,    244.11,    313.43,    312.73,    250.91,    322.75,      0.00,    206.64,    108.06,     48.11,    117.00,    313.40,    254.41,    322.49,    322.17,    261.21,    332.15
max,     99.68,    308.39,    210.44,    150.30,    219.52,    419.15,    359.01,    428.23,    427.76,    366.12,    437.95,      0.00,    208.71,    110.76,     50.62,    119.84,    319.47,    259.33,    328.55,    328.08,    266.44,    338.27
 2deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    229.67,    423.93,    337.05,    287.79,    351.11,    531.30,    482.04,    545.36,    538.35,    487.77,    552.96,      0.00,    194.25,    107.37,     58.11,    121.43,    301.62,    252.37,    315.68,    308.68,    258.10,    323.29
std,     86.23,     87.63,     88.87,     88.52,     89.11,     90.26,     89.92,     90.50,     89.88,     89.77,     90.17,      0.00,      1.68,      3.92,      2.55,      3.99,      4.81,      3.87,      4.94,      4.37,      3.72,      4.56
min,     85.27,    277.02,    189.16,    139.82,    202.83,    380.98,    331.58,    394.74,    389.13,    337.48,    403.13,      0.00,    191.07,     99.86,     53.82,    114.23,    293.22,    245.63,    307.12,    300.77,    251.93,    315.38
25%,    177.81,    370.03,    285.95,    235.70,    299.95,    478.17,    427.92,    492.17,    485.21,    433.78,    499.70,      0.00,    193.17,    104.24,     56.29,    117.89,    297.74,    250.19,    312.07,    305.63,    255.95,    319.86
50%,    236.49,    430.31,    345.19,    295.63,    359.50,    539.98,    489.45,    554.20,    546.94,    495.30,    561.62,      0.00,    194.50,    108.22,     57.85,    122.28,    301.27,    252.19,    315.18,    308.04,    257.67,    322.52
75%,    272.96,    467.58,    384.52,    332.73,    398.56,    578.86,    527.35,    592.94,    585.43,    532.95,    600.12,      0.00,    195.38,    110.69,     59.88,    124.68,    305.90,    254.39,    319.89,    311.89,    259.99,    326.82
max,    457.74,    655.49,    573.33,    522.08,    587.54,    771.08,    719.84,    785.29,    776.86,    725.07,    791.86,      0.00,    197.75,    115.59,     64.34,    129.80,    313.34,    262.10,    327.55,    319.12,    267.33,    334.12
2deg, lowQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    230.28,    443.83,    344.22,    281.62,    353.71,    557.77,    495.17,    567.26,    565.03,    501.94,    575.55,      0.00,    213.55,    113.94,     51.34,    123.43,    327.49,    264.89,    336.98,    334.74,    271.66,    345.27
std,     89.35,     91.23,     92.04,     91.62,     92.34,     93.91,     93.50,     94.21,     93.39,     93.47,     93.76,      0.00,      2.08,      4.02,      2.51,      4.17,      5.33,      4.31,      5.55,      4.78,      4.28,      5.06
min,     78.72,    288.96,    188.86,    126.53,    198.02,    399.11,    336.77,    408.27,    407.82,    343.76,    417.73,      0.00,    209.41,    106.00,     47.13,    115.71,    318.34,    257.13,    327.38,    325.80,    263.92,    335.87
25%,    176.54,    387.74,    291.30,    227.61,    300.62,    502.50,    438.81,    511.82,    509.98,    445.78,    520.29,      0.00,    212.34,    110.40,     49.80,    119.71,    323.22,    262.34,    332.83,    330.97,    269.27,    341.46
50%,    236.02,    449.29,    352.43,    288.38,    361.88,    565.70,    501.65,    575.15,    572.72,    508.41,    583.24,      0.00,    213.68,    114.77,     51.07,    124.13,    327.03,    264.57,    336.27,    334.61,    271.10,    344.74
75%,    275.92,    490.12,    394.41,    329.16,    403.94,    608.61,    543.36,    618.14,    615.13,    549.78,    625.70,      0.00,    214.52,    117.19,     53.14,    126.96,    332.05,    267.45,    341.70,    338.20,    273.86,    349.26
max,    462.73,    680.97,    584.93,    520.15,    594.85,    803.17,    738.39,    813.09,    809.49,    745.35,    820.42,      0.00,    218.24,    122.20,     57.42,    132.12,    340.44,    275.66,    350.36,    346.76,    282.62,    357.69
2deg, highQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    213.87,    405.57,    321.51,    273.47,    335.57,    513.21,    465.17,    527.27,    520.19,    470.88,    534.79,      0.00,    191.70,    107.64,     59.60,    121.70,    299.35,    251.30,    313.41,    306.32,    257.01,    320.92
std,     85.54,     86.83,     88.03,     87.75,     88.28,     89.31,     89.04,     89.55,     88.94,     88.93,     89.23,      0.00,      1.57,      3.82,      2.46,      3.88,      4.59,      3.70,      4.71,      4.18,      3.58,      4.36
min,     71.38,    260.99,    173.66,    127.03,    187.23,    363.27,    316.64,    376.84,    370.63,    322.54,    384.86,      0.00,    188.31,    100.10,     55.65,    114.57,    290.83,    244.60,    304.85,    298.17,    250.37,    312.64
25%,    162.81,    352.76,    271.10,    222.15,    285.11,    461.05,    412.10,    475.06,    467.97,    418.02,    482.56,      0.00,    190.60,    104.59,     57.80,    118.23,    296.11,    248.94,    310.11,    303.68,    254.84,    317.58
50%,    221.09,    413.34,    331.41,    281.84,    345.47,    522.93,    473.41,    536.98,    529.43,    479.18,    544.05,      0.00,    191.73,    108.37,     59.31,    122.39,    298.49,    251.13,    312.44,    305.55,    256.76,    320.12
75%,    255.95,    447.74,    367.80,    316.90,    381.80,    559.60,    508.70,    573.59,    565.93,    514.34,    580.44,      0.00,    192.77,    110.93,     61.07,    125.23,    303.34,    252.98,    317.30,    309.37,    258.60,    324.17
max,    440.71,    635.28,    555.54,    506.34,    569.96,    750.11,    700.91,    764.53,    756.44,    706.42,    771.30,      0.00,    194.71,    114.83,     65.63,    129.25,    309.40,    260.20,    323.82,    315.73,    265.71,    330.59
2deg, highQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    213.23,    424.31,    328.08,    266.44,    337.65,    539.16,    477.51,    548.72,    546.41,    484.20,    556.98,      0.00,    211.08,    114.85,     53.20,    124.41,    325.92,    264.28,    335.49,    333.18,    270.96,    343.75
std,     88.38,     90.17,     90.99,     90.65,     91.30,     92.76,     92.44,     93.08,     92.21,     92.35,     92.57,      0.00,      2.01,      3.97,      2.51,      4.16,      5.14,      4.23,      5.40,      4.58,      4.15,      4.87
min,     63.79,    272.17,    175.02,    113.60,    184.18,    383.40,    321.98,    392.56,    392.04,    328.83,    401.98,      0.00,    206.67,    107.06,     49.23,    116.70,    316.48,    256.21,    325.70,    324.20,    263.12,    334.30
25%,    159.97,    369.02,    275.72,    212.81,    285.08,    484.78,    421.87,    494.13,    492.19,    428.65,    502.49,      0.00,    209.81,    111.43,     51.41,    120.60,    322.05,    261.84,    331.32,    330.03,    268.68,    340.17
50%,    219.75,    431.64,    336.70,    273.53,    346.27,    547.61,    485.31,    557.19,    554.54,    491.93,    565.10,      0.00,    211.06,    115.70,     52.84,    125.10,    325.36,    264.12,    334.60,    332.76,    270.59,    343.12
75%,    257.51,    468.79,    376.88,    312.25,    386.53,    588.16,    523.53,    597.82,    594.52,    530.08,    605.15,      0.00,    212.41,    118.21,     54.83,    128.03,    329.92,    266.31,    339.64,    336.32,    272.83,    347.32
max,    443.10,    658.49,    566.26,    502.66,    576.20,    781.65,    718.05,    791.59,    787.77,    724.63,    798.66,      0.00,    215.39,    123.16,     59.57,    133.10,    338.55,    274.96,    348.49,    344.67,    281.53,    355.56
