1p5deg: 
Median of GCMs:
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
                  Canada,       2.90,     -3.91,      6.61,      2.64,      5.55
                     USA,      15.13,     -1.01,      7.39,      6.37,     21.46
                  Mexico,       1.96,      0.76,      2.50,      3.29,      5.25
         Central America,       1.04,      0.24,      0.23,      0.47,      1.50
                  Brazil,       7.66,      4.63,     10.80,     15.40,     23.05
   Rest of South America,       9.66,      3.57,      7.05,     10.64,     20.26
         Northern Africa,       2.19,      0.00,      0.00,      0.00,      2.19
          Western Africa,       8.04,     17.62,      0.12,     17.74,     25.80
          Eastern Africa,       4.23,      1.40,      1.48,      3.06,      7.28
            South Africa,      12.48,     -0.15,      0.05,     -0.09,     12.39
          Western Europe,       8.50,     -2.16,      6.69,      4.48,     12.98
          Central Europe,       4.11,     -1.71,      3.87,      2.14,      6.24
                  Turkey,       1.69,     -0.02,      0.00,     -0.02,      1.66
          Ukraine Region,       2.29,     -0.54,      1.57,      0.93,      3.23
            Central Asia,       6.40,      0.02,      0.01,      0.03,      6.44
           Russia region,      10.89,     -5.84,     13.05,      7.02,     17.90
             Middle East,      10.54,      0.00,      0.00,      0.00,     10.55
                   India,      27.34,      0.01,      0.51,      0.51,     27.89
            Korea region,       0.79,     -0.29,      1.09,      0.80,      1.58
            China region,      30.18,     -3.18,     12.10,      8.81,     39.05
       Southeastern Asia,       8.99,      1.49,      3.63,      5.14,     14.12
        Indonesia region,       4.85,      0.77,      0.00,      0.77,      5.61
                   Japan,       0.73,     -0.24,      0.93,      0.70,      1.43
                 Oceania,       7.59,     -2.52,      9.18,      6.78,     14.39
      Rest of South Asia,       5.35,      0.13,      0.00,      0.13,      5.48
 Rest of Southern Africa,       1.79,      3.56,      9.70,     13.29,     15.10
International Transportation,       0.00,      0.00,      0.00,      0.00,      0.00
                  Global,     197.31,     12.61,     98.62,    111.04,    308.89



25% of GCMs: 
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
                  Canada,       2.77,     -4.00,      5.88,      1.92,      4.68
                     USA,      14.44,     -1.15,      7.26,      6.18,     20.64
                  Mexico,       1.87,      0.71,      2.42,      3.12,      5.17
         Central America,       0.99,      0.20,      0.22,      0.43,      1.48
                  Brazil,       7.31,      4.28,     10.44,     14.91,     22.79
   Rest of South America,       9.22,      3.27,      6.81,     10.21,     19.89
         Northern Africa,       2.09,      0.00,      0.00,      0.00,      2.09
          Western Africa,       7.67,     16.28,      0.12,     16.40,     24.77
          Eastern Africa,       4.04,      1.19,      1.39,      2.89,      7.15
            South Africa,      11.90,     -0.15,      0.05,     -0.10,     11.81
          Western Europe,       8.11,     -2.57,      6.57,      4.17,     12.28
          Central Europe,       3.92,     -1.76,      3.52,      1.75,      5.67
                  Turkey,       1.61,     -0.03,      0.00,     -0.03,      1.58
          Ukraine Region,       2.19,     -0.57,      1.32,      0.84,      3.03
            Central Asia,       6.10,      0.01,      0.01,      0.02,      6.13
           Russia region,      10.39,     -6.55,     12.41,      5.85,     16.23
             Middle East,      10.06,      0.00,      0.00,      0.00,     10.06
                   India,      26.08,     -0.02,      0.49,      0.48,     26.58
            Korea region,       0.75,     -0.36,      1.05,      0.75,      1.50
            China region,      28.79,     -3.23,     11.61,      8.41,     37.18
       Southeastern Asia,       8.58,      1.31,      3.55,      4.90,     13.88
        Indonesia region,       4.63,      0.68,      0.00,      0.68,      5.46
                   Japan,       0.70,     -0.32,      0.91,      0.64,      1.33
                 Oceania,       7.24,     -2.81,      8.51,      6.37,     13.75
      Rest of South Asia,       5.10,      0.12,      0.00,      0.12,      5.25
 Rest of Southern Africa,       1.71,      3.43,      9.48,     13.10,     14.92
International Transportation,       0.00,      0.00,      0.00,      0.00,      0.00
                  Global,     188.24,     11.16,     95.98,    108.63,    298.64



75% of GCMs: 
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
                  Canada,       3.04,     -3.52,      6.95,      3.42,      6.45
                     USA,      15.83,     -0.86,      7.51,      6.53,     22.41
                  Mexico,       2.05,      0.79,      2.64,      3.45,      5.36
         Central America,       1.08,      0.28,      0.24,      0.51,      1.54
                  Brazil,       8.02,      5.06,     10.96,     15.90,     23.38
   Rest of South America,      10.11,      3.83,      7.32,     11.04,     20.84
         Northern Africa,       2.29,      0.00,      0.00,      0.00,      2.30
          Western Africa,       8.41,     19.02,      0.12,     19.13,     26.82
          Eastern Africa,       4.43,      1.63,      2.04,      3.15,      7.36
            South Africa,      13.05,     -0.13,      0.06,     -0.09,     12.96
          Western Europe,       8.89,     -1.84,      6.80,      4.81,     13.71
          Central Europe,       4.30,     -1.62,      4.16,      2.53,      6.83
                  Turkey,       1.76,     -0.02,      0.00,     -0.02,      1.75
          Ukraine Region,       2.40,     -0.47,      1.64,      1.06,      3.47
            Central Asia,       6.69,      0.03,      0.01,      0.04,      6.72
           Russia region,      11.39,     -5.49,     13.60,      8.12,     19.51
             Middle East,      11.03,      0.01,      0.00,      0.01,     11.04
                   India,      28.61,      0.08,      0.52,      0.57,     29.15
            Korea region,       0.83,     -0.23,      1.11,      0.83,      1.65
            China region,      31.58,     -3.12,     12.49,      9.23,     40.81
       Southeastern Asia,       9.41,      1.61,      3.71,      5.28,     14.29
        Indonesia region,       5.07,      0.84,      0.00,      0.84,      5.75
                   Japan,       0.76,     -0.16,      0.96,      0.75,      1.51
                 Oceania,       7.94,     -2.17,     10.26,      7.44,     15.13
      Rest of South Asia,       5.59,      0.15,      0.00,      0.15,      5.71
 Rest of Southern Africa,       1.87,      3.70,      9.92,     13.49,     15.28
International Transportation,       0.00,      0.00,      0.00,      0.00,      0.00
                  Global,     206.45,     13.67,    100.77,    113.08,    318.29
2deg: 
Median of GCMs:
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
                  Canada,       2.98,     -4.65,      8.44,      3.44,      6.44
