1p5deg: 
Global: 
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00
mean,    -20.05,    177.46,     81.95,     29.55,     93.44,    279.46,    227.07,    290.96,    287.72,    233.60,    299.92,      0.00,    197.52,    102.00,     49.61,    113.50,    299.51,    247.12,    311.01,    307.77,    253.65,    319.97
std,     47.12,     47.54,     48.61,     48.95,     49.01,     49.63,     48.70,     49.54,     49.43,     48.60,     49.37,      0.00,      9.28,      4.36,      3.93,      2.95,     12.91,      6.14,     10.38,     13.15,      6.49,     10.86
min,   -110.11,     92.67,     -6.22,    -64.90,      2.34,    188.53,    140.60,    202.89,    196.62,    147.56,    211.30,      0.00,    185.75,     92.81,     42.81,    106.88,    280.95,    237.68,    295.05,    288.73,    244.27,    303.30
25%,    -54.58,    142.08,     44.84,     -7.81,     54.75,    240.33,    190.49,    253.06,    248.73,    197.35,    262.14,      0.00,    188.24,     99.24,     46.21,    111.32,    287.22,    241.23,    301.14,    295.22,    247.19,    309.66
50%,    -17.03,    180.35,     86.40,     30.46,     97.12,    281.45,    232.11,    293.88,    289.70,    238.51,    302.57,      0.00,    197.31,    101.62,     49.77,    113.93,    299.99,    247.37,    311.54,    308.23,    253.81,    320.53
75%,      4.91,    202.76,    107.01,     56.76,    119.88,    306.64,    251.45,    317.34,    315.27,    257.68,    326.49,      0.00,    206.45,    105.66,     53.00,    115.76,    312.11,    252.43,    320.63,    320.37,    259.43,    330.18
max,    120.90,    321.10,    224.47,    176.83,    238.72,    431.26,    370.13,    440.31,    439.35,    376.91,    449.38,      0.00,    210.61,    110.76,     57.50,    119.84,    320.77,    259.64,    329.82,    328.86,    266.44,    338.89
2deg: 
Global: 
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00
mean,    221.76,    424.41,    332.71,    277.33,    344.51,    535.36,    479.97,    547.15,    542.49,    486.20,    555.07,      0.00,    202.65,    110.95,     55.56,    122.74,    313.59,    258.21,    325.39,    320.73,    264.43,    333.31
std,     86.80,     89.03,     89.41,     89.02,     89.62,     91.97,     90.86,     91.94,     91.54,     90.81,     91.59,      0.00,      9.95,      5.21,      4.22,      4.19,     14.08,      7.55,     12.06,     14.04,      7.94,     12.21
min,     63.79,    260.99,    173.66,    113.60,    184.18,    363.27,    316.64,    376.84,    370.63,    322.54,    384.86,      0.00,    188.31,     99.86,     47.13,    114.23,    290.83,    244.60,    304.85,    298.17,    250.37,    312.64
25%,    169.32,    369.00,    277.40,    224.00,    289.42,    480.01,    423.31,    492.89,    486.98,    430.18,    500.93,      0.00,    192.93,    107.82,     52.08,    119.42,    300.18,    251.64,    314.17,    307.17,    257.25,    321.90
50%,    228.43,    429.01,    337.74,    285.35,    350.01,    539.98,    485.31,    552.30,    546.94,    491.02,    560.95,      0.00,    202.21,    111.04,     55.71,    122.92,    314.91,    258.21,    326.00,    321.66,    264.59,    334.21
75%,    269.11,    470.70,    384.57,    327.57,    395.07,    581.60,    527.47,    595.60,    587.92,    533.10,    602.55,      0.00,    212.35,    115.07,     58.84,    125.93,    325.97,    264.28,    335.28,    333.68,    271.04,    344.07
max,    462.73,    680.97,    584.93,    522.08,    594.85,    803.17,    738.39,    813.09,    809.49,    745.35,    820.42,      0.00,    218.24,    123.16,     65.63,    133.10,    340.44,    275.66,    350.36,    346.76,    282.62,    357.69
