1p5deg: 
Global: 
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00
mean,    -20.05,    177.46,     54.80,     29.55,     69.70,    252.32,    227.07,    267.22,    259.13,    233.60,    274.88,      0.00,    197.52,     74.85,     49.61,     89.75,    272.37,    247.12,    287.27,    279.18,    253.65,    294.93
std,     47.12,     47.54,     48.21,     48.95,     48.76,     49.29,     48.70,     49.16,     49.10,     48.60,     49.00,      0.00,      9.28,      4.20,      3.93,      2.29,     13.03,      6.14,      9.54,     13.15,      6.49,     10.01
min,   -110.11,     92.67,    -32.57,    -64.90,    -21.70,    161.68,    140.60,    180.44,    168.44,    147.56,    187.57,      0.00,    185.75,     66.93,     42.81,     84.22,    254.94,    237.68,    273.54,    261.69,    244.27,    280.59
25%,    -54.58,    142.08,     18.11,     -7.81,     31.79,    213.59,    190.49,    229.85,    220.83,    197.35,    237.54,      0.00,    188.24,     71.72,     46.21,     87.89,    259.61,    241.23,    278.02,    266.31,    247.19,    285.19
50%,    -17.03,    180.35,     60.13,     30.46,     73.13,    253.83,    232.11,    270.14,    260.64,    238.51,    277.21,      0.00,    197.31,     74.26,     49.77,     90.14,    273.04,    247.37,    288.03,    279.92,    253.81,    295.77
75%,      4.91,    202.76,     79.21,     56.76,     95.66,    279.20,    251.45,    292.17,    286.26,    257.68,    299.97,      0.00,    206.45,     78.67,     53.00,     91.43,    284.91,    252.43,    296.07,    291.77,    259.43,    304.22
max,    120.90,    321.10,    196.13,    176.83,    214.85,    403.36,    370.13,    414.96,    409.92,    376.91,    422.69,      0.00,    210.61,     82.93,     57.50,     94.56,    292.87,    259.64,    304.47,    299.43,    266.44,    312.20
2deg: 
Global: 
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00
mean,    221.76,    424.41,    303.85,    277.33,    319.03,    506.49,    479.97,    521.68,    512.37,    486.20,    528.52,      0.00,    202.65,     82.08,     55.56,     97.27,    284.73,    258.21,    299.91,    290.61,    264.43,    306.75
std,     86.80,     89.03,     88.93,     89.02,     89.21,     91.51,     90.86,     91.45,     91.15,     90.81,     91.21,      0.00,      9.95,      4.71,      4.22,      3.28,     13.98,      7.55,     11.14,     13.89,      7.94,     11.38
min,     63.79,    260.99,    145.57,    113.60,    158.80,    335.18,    316.64,    353.13,    341.28,    322.54,    359.87,      0.00,    188.31,     72.91,     47.13,     91.36,    262.74,    244.60,    281.11,    268.86,    250.37,    287.69
25%,    169.32,    369.00,    248.43,    224.00,    264.71,    450.59,    423.31,    466.79,    456.43,    430.18,    473.77,      0.00,    192.93,     79.04,     52.08,     94.41,    270.98,    251.64,    289.23,    276.91,    257.25,    295.81
50%,    228.43,    429.01,    309.30,    285.35,    324.32,    510.51,    485.31,    526.63,    516.17,    491.02,    534.20,      0.00,    202.21,     81.75,     55.71,     97.52,    285.81,    258.21,    300.79,    291.36,    264.59,    307.67
75%,    269.11,    470.70,    354.62,    327.57,    368.31,    552.93,    527.47,    569.69,    558.37,    533.10,    575.63,      0.00,    212.35,     86.10,     58.84,     99.75,    297.36,    264.28,    309.00,    303.37,    271.04,    316.51
max,    462.73,    680.97,    554.68,    522.08,    567.28,    772.92,    738.39,    785.52,    778.12,    745.35,    792.17,      0.00,    218.24,     93.01,     65.63,    105.63,    310.18,    275.66,    322.78,    315.38,    282.62,    329.43
