1p5deg, lowQ10, lowO3:
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
         Canada:       2.78,     -1.85,      2.58,      0.72,      3.51
            USA:      14.51,      0.01,      4.54,      4.53,     19.02
         Mexico:       1.88,      0.78,      1.98,      2.79,      4.66
Central America:       0.99,      0.26,      0.18,      0.44,      1.43
         Brazil:       7.35,      5.14,      8.01,     13.08,     20.41
Rest of South America:       9.26,      3.78,      5.33,      9.08,     18.32
Northern Africa:       2.10,      0.00,      0.00,      0.00,      2.10
 Western Africa:       7.71,     19.10,      0.09,     19.18,     26.91
 Eastern Africa:       4.06,      1.63,      1.11,      2.75,      6.80
   South Africa:      11.96,     -0.15,      0.04,     -0.11,     11.85
 Western Europe:       8.15,     -2.47,      4.98,      2.50,     10.65
 Central Europe:       3.94,     -1.77,      2.64,      0.88,      4.81
         Turkey:       1.62,     -0.03,      0.00,     -0.03,      1.58
 Ukraine Region:       2.20,     -0.47,      0.98,      0.51,      2.71
   Central Asia:       6.13,      0.02,      0.01,      0.03,      6.15
  Russia region:      10.43,     -3.43,      6.49,      3.09,     13.51
    Middle East:      10.11,      0.00,      0.00,      0.00,     10.11
          India:      26.21,     -0.01,      0.39,      0.37,     26.57
   Korea region:       0.76,     -0.36,      0.83,      0.47,      1.22
   China region:      28.93,     -3.08,      8.62,      5.50,     34.45
Southeastern Asia:       8.62,      1.61,      2.77,      4.36,     12.99
Indonesia region:       4.65,      0.83,      0.00,      0.83,      5.47
          Japan:       0.70,     -0.33,      0.72,      0.40,      1.10
        Oceania:       7.27,     -1.66,      6.13,      4.52,     11.81
Rest of South Asia:       5.13,      0.14,      0.00,      0.14,      5.27
Rest of Southern Africa:       1.72,      3.70,      7.24,     10.94,     12.67
International Transportation:       0.00,      0.00,      0.00,      0.00,      0.00
         Global:     189.14,     21.17,     66.12,     87.64,    276.06
1p5deg, lowQ10, highO3:
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
         Canada:       3.05,     -2.93,      4.63,      1.72,      4.75
            USA:      15.89,     -0.74,      5.45,      4.67,     20.62
         Mexico:       2.06,      0.72,      1.82,      2.56,      4.63
Central America:       1.09,      0.20,      0.17,      0.37,      1.46
         Brazil:       8.05,      4.27,      8.08,     12.31,     20.38
Rest of South America:      10.15,      3.25,      5.26,      8.46,     18.59
Northern Africa:       2.30,      0.00,      0.00,      0.00,      2.30
