1p5deg: 
Median of GCMs:
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
      Rest of South Asia,       5.59,      0.15,      0.00,      0.15,      5.71
 Rest of Southern Africa,       1.87,      3.70,      7.44,     11.00,     12.80
International Transportation,       0.00,      0.00,      0.00,      0.00,      0.00
                  Global,     206.45,     21.23,     71.25,     88.99,    293.79
2deg: 
Median of GCMs:
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
                  Canada,       2.98,     -3.09,      4.91,      1.57,      4.57
                     USA,      15.51,     -0.50,      5.71,      5.13,     20.70
                  Mexico,       2.01,      0.85,      1.91,      2.77,      4.77
         Central America,       1.06,      0.30,      0.17,      0.47,      1.54
                  Brazil,       7.85,      5.49,      7.95,     13.53,     21.35
   Rest of South America,       9.90,      4.00,      5.46,      9.52,     19.36
         Northern Africa,       2.24,      0.00,      0.00,      0.00,      2.25
          Western Africa,       8.24,     20.29,      0.09,     20.38,     28.71
          Eastern Africa,       4.34,      1.54,      1.17,      2.78,      7.11
            South Africa,      12.79,     -0.15,      0.04,     -0.11,     12.69
          Western Europe,       8.71,     -2.32,      5.40,      3.10,     11.82
          Central Europe,       4.21,     -1.76,      2.89,      1.31,      5.54
                  Turkey,       1.73,     -0.03,      0.00,     -0.03,      1.71
          Ukraine Region,       2.35,     -0.46,      1.07,      0.66,      3.00
            Central Asia,       6.55,      0.02,      0.01,      0.03,      6.58
           Russia region,      11.16,     -4.79,      9.45,      4.50,     15.73
             Middle East,      10.80,      0.00,      0.00,      0.00,     10.81
                   India,      28.02,     -0.02,      0.40,      0.35,     28.45
            Korea region,       0.81,     -0.32,      0.90,      0.59,      1.41
            China region,      30.93,     -2.85,      9.19,      6.43,     37.30
       Southeastern Asia,       9.22,      1.59,      2.70,      4.21,     13.45
        Indonesia region,       4.97,      0.90,      0.00,      0.90,      5.87
                   Japan,       0.75,     -0.26,      0.78,      0.53,      1.28
                 Oceania,       7.78,     -1.68,      6.34,      4.75,     12.60
      Rest of South Asia,       5.48,      0.13,      0.00,      0.13,      5.62
 Rest of Southern Africa,       1.83,      3.89,      7.26,     11.17,     13.03
International Transportation,       0.00,      0.00,      0.00,      0.00,      0.00
                  Global,     202.21,     21.20,     73.36,     94.99,    297.71



25% of GCMs: 
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
                  Canada,       2.84,     -3.46,      3.69,      1.09,      3.93
                     USA,      14.80,     -0.83,      4.97,      4.96,     19.77
                  Mexico,       1.92,      0.76,      1.84,      2.62,      4.68
         Central America,       1.01,      0.25,      0.15,      0.44,      1.48
                  Brazil,       7.49,      5.09,      7.64,     12.99,     20.84
   Rest of South America,       9.45,      3.78,      5.24,      9.02,     18.95
         Northern Africa,       2.14,      0.00,      0.00,      0.00,      2.15
          Western Africa,       7.86,     18.99,      0.09,     19.08,     27.64
          Eastern Africa,       4.14,      1.43,      1.05,      2.67,      7.00
            South Africa,      12.20,     -0.15,      0.04,     -0.11,     12.09
          Western Europe,       8.31,     -2.59,      5.31,      2.77,     11.09
          Central Europe,       4.02,     -1.84,      2.78,      1.01,      5.00
                  Turkey,       1.65,     -0.04,      0.00,     -0.04,      1.61
          Ukraine Region,       2.24,     -0.50,      1.04,      0.59,      2.84
            Central Asia,       6.25,      0.01,      0.01,      0.01,      6.28
           Russia region,      10.64,     -5.18,      8.11,      3.59,     14.23
             Middle East,      10.31,      0.00,      0.00,      0.00,     10.31
                   India,      26.73,     -0.09,      0.39,      0.29,     27.03
            Korea region,       0.77,     -0.37,      0.88,      0.54,      1.32
            China region,      29.51,     -3.30,      9.03,      5.94,     35.48
       Southeastern Asia,       8.79,      1.44,      2.49,      4.06,     13.16
        Indonesia region,       4.74,      0.83,      0.00,      0.83,      5.71
                   Japan,       0.71,     -0.34,      0.76,      0.46,      1.17
                 Oceania,       7.42,     -2.14,      5.82,      4.38,     12.01
      Rest of South Asia,       5.23,      0.12,      0.00,      0.12,      5.37
 Rest of Southern Africa,       1.75,      3.76,      7.07,     10.95,     12.82
International Transportation,       0.00,      0.00,      0.00,      0.00,      0.00
                  Global,     192.93,     18.99,     70.87,     91.94,    286.65



75% of GCMs: 
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
                  Canada,       3.12,     -2.62,      5.73,      2.32,      5.44
                     USA,      16.29,      0.04,      6.04,      5.27,     21.52
                  Mexico,       2.11,      0.91,      1.98,      2.89,      4.90
         Central America,       1.12,      0.37,      0.18,      0.53,      1.59
                  Brazil,       8.25,      6.06,      8.17,     14.04,     21.84
   Rest of South America,      10.40,      4.39,      5.71,     10.16,     20.04
         Northern Africa,       2.36,      0.00,      0.00,      0.00,      2.36
          Western Africa,       8.65,     21.66,      0.09,     21.75,     29.64
          Eastern Africa,       4.56,      1.73,      1.45,      2.89,      7.23
            South Africa,      13.43,     -0.14,      0.05,     -0.10,     13.32
          Western Europe,       9.14,     -1.97,      5.51,      3.44,     12.58
          Central Europe,       4.42,     -1.61,      3.32,      1.68,      6.08
                  Turkey,       1.81,     -0.02,      0.00,     -0.02,      1.79
          Ukraine Region,       2.47,     -0.28,      1.10,      0.77,      3.24
            Central Asia,       6.88,      0.03,      0.01,      0.03,      6.91
           Russia region,      11.72,     -4.38,     10.49,      5.46,     17.14
             Middle East,      11.35,      0.01,      0.00,      0.01,     11.35
                   India,      29.42,      0.16,      0.42,      0.49,     29.87
            Korea region,       0.85,     -0.26,      0.92,      0.62,      1.47
            China region,      32.48,     -2.34,      9.35,      6.78,     39.22
       Southeastern Asia,       9.68,      1.73,      2.79,      4.41,     13.75
        Indonesia region,       5.22,      0.97,      0.00,      0.97,      6.04
                   Japan,       0.78,     -0.18,      0.80,      0.58,      1.37
                 Oceania,       8.17,     -1.46,      7.28,      5.21,     13.20
      Rest of South Asia,       5.75,      0.14,      0.00,      0.14,      5.86
 Rest of Southern Africa,       1.93,      3.97,      7.47,     11.30,     13.12
International Transportation,       0.00,      0.00,      0.00,      0.00,      0.00
                  Global,     212.35,     23.39,     76.54,     97.45,    306.83
