1p5deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,     -9.66,    179.44,     61.35,     42.57,     79.84,    250.44,    231.67,    268.94,    257.18,    237.83,    276.14,      0.00,    189.10,     71.00,     52.23,     89.50,    260.10,    241.33,    278.59,    266.84,    247.48,    285.80
std,     46.64,     47.08,     48.13,     48.10,     48.36,     48.55,     48.53,     48.78,     48.33,     48.37,     48.59,      0.00,      1.08,      2.15,      1.69,      2.23,      2.49,      2.19,      2.59,      2.37,      2.02,      2.47
min,    -85.10,    103.08,    -15.56,    -34.83,      2.69,    172.62,    153.36,    190.88,    180.15,    159.80,    198.74,      0.00,    187.29,     66.93,     49.60,     85.23,    255.94,    237.68,    274.42,    262.48,    244.27,    281.38
25%,    -44.01,    145.21,     23.45,      5.91,     41.87,    213.11,    195.14,    231.52,    220.46,    201.36,    239.39,      0.00,    188.20,     69.60,     51.01,     87.76,    258.37,    239.58,    276.44,    265.24,    245.94,    283.89
50%,     -5.95,    182.86,     65.47,     46.88,     83.99,    254.25,    235.65,    272.77,    260.64,    241.69,    279.71,      0.00,    189.14,     71.51,     52.38,     90.05,    260.20,    241.20,    278.43,    266.86,    247.11,    285.38
75%,      9.89,    200.26,     82.73,     63.04,    101.13,    272.94,    253.24,    291.34,    279.28,    259.14,    298.09,      0.00,    189.84,     72.72,     53.26,     91.18,    261.47,    242.64,    280.24,    268.74,    248.68,    287.64
max,    120.90,    311.92,    196.13,    176.83,    214.85,    387.15,    367.85,    405.87,    393.64,    373.40,    412.98,      0.00,    191.02,     75.23,     55.94,     93.95,    266.25,    246.95,    284.97,    272.74,    252.50,    292.08
1p5deg, lowQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -20.58,    186.79,     57.30,     24.60,     68.54,    264.67,    231.97,    275.91,    271.64,    238.95,    284.13,      0.00,    207.37,     77.88,     45.18,     89.12,    285.25,    252.55,    296.49,    292.22,    259.54,    304.71
std,     47.76,     48.55,     49.32,     49.21,     49.59,     50.09,     49.99,     50.37,     49.82,     49.86,     50.10,      0.00,      1.25,      2.25,      1.65,      2.39,      2.87,      2.48,      3.04,      2.68,      2.39,      2.84
min,   -100.38,    106.28,    -24.11,    -57.22,    -13.14,    182.54,    149.43,    193.52,    190.08,    156.59,    202.03,      0.00,    204.95,     73.12,     42.81,     84.22,    279.90,    247.79,    291.09,    287.17,    255.03,    299.46
25%,    -53.09,    153.63,     20.28,    -10.18,     31.31,    227.58,    196.86,    238.50,    235.03,    203.90,    247.34,      0.00,    206.31,     76.26,     44.00,     87.29,    283.35,    250.87,    294.43,    290.66,    257.96,    302.81
50%,    -16.57,    190.46,     61.61,     28.96,     72.79,    268.64,    235.99,    279.82,    275.36,    242.86,    287.79,      0.00,    207.24,     78.17,     45.31,     89.62,    285.22,    252.25,    296.17,    291.94,    259.37,    304.46
75%,      0.83,    209.39,     80.44,     46.92,     91.83,    289.00,    255.48,    300.39,    295.88,    262.45,    308.54,      0.00,    208.05,     79.57,     46.34,     90.93,    286.78,    253.92,    298.38,    293.87,    260.85,    306.77
max,    110.49,    321.10,    192.74,    159.52,    204.35,    403.36,    370.13,    414.96,    409.92,    376.91,    422.69,      0.00,    210.61,     82.25,     49.03,     93.86,    292.87,    259.64,    304.47,    299.43,    266.42,    312.20
1p5deg, highQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
