1p5deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
mean,    -18.91,    168.73,     52.64,     35.00,     71.19,    240.28,    222.64,    258.83,    246.87,    228.72,    265.89,      0.00,    187.64,     71.55,     53.91,     90.10,    259.19,    241.55,    277.74,    265.78,    247.63,    284.80
std,     46.40,     46.81,     47.75,     47.79,     47.98,     48.15,     48.19,     48.38,     47.94,     48.07,     48.19,      0.00,      1.05,      2.06,      1.61,      2.14,      2.34,      2.08,      2.44,      2.22,      1.97,      2.31
min,    -93.64,     92.67,    -24.45,    -41.48,     -5.69,    161.68,    144.65,    180.44,    168.44,    150.87,    187.57,      0.00,    185.75,     67.32,     51.49,     85.72,    254.94,    238.11,    273.54,    261.69,    244.33,    280.59
25%,    -51.54,    136.23,     15.85,     -0.04,     34.19,    203.83,    187.94,    222.18,    210.38,    194.15,    229.17,      0.00,    186.83,     70.15,     52.60,     88.51,    257.76,    239.95,    276.08,    264.60,    246.23,    283.31
50%,    -14.27,    173.30,     57.60,     40.20,     76.25,    245.21,    227.80,    263.85,    251.54,    233.64,    270.60,      0.00,    187.69,     72.14,     54.14,     90.74,    258.81,    241.28,    277.45,    265.71,    247.24,    284.39
75%,     -0.02,    188.45,     73.46,     54.89,     91.86,    261.94,    243.36,    280.34,    268.22,    249.44,    287.24,      0.00,    188.34,     73.20,     54.94,     91.67,    260.54,    242.67,    279.41,    267.45,    248.84,    286.47
max,    111.64,    301.33,    186.66,    168.83,    205.35,    376.35,    358.51,    395.04,    382.57,    364.23,    401.78,      0.00,    189.69,     75.02,     57.50,     93.83,    264.71,    246.87,    283.40,    270.93,    252.59,    290.14
1p5deg, highQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -31.06,    174.90,     47.91,     16.05,     59.24,    253.87,    222.00,    265.19,    260.82,    228.91,    273.36,      0.00,    205.96,     78.97,     47.11,     90.29,    284.93,    253.06,    296.25,    291.88,    259.97,    304.42
std,     47.29,     47.98,     48.74,     48.65,     49.02,     49.42,     49.34,     49.69,     49.23,     49.30,     49.52,      0.00,      1.23,      2.17,      1.56,      2.31,      2.70,      2.35,      2.88,      2.58,      2.32,      2.74
min,   -110.11,     95.39,    -32.57,    -64.90,    -21.70,    172.93,    140.60,    183.80,    180.41,    147.56,    192.40,      0.00,    203.60,     74.31,     44.73,     85.55,    279.83,    248.62,    291.25,    287.11,    255.64,    299.52
25%,    -61.81,    143.11,     13.55,    -16.11,     24.70,    219.57,    189.72,    230.72,    226.57,    196.63,    238.85,      0.00,    204.88,     77.38,     45.95,     88.47,    283.08,    251.19,    294.22,    290.41,    258.42,    302.57
50%,    -26.72,    178.88,     52.93,     21.20,     64.25,    258.91,    226.92,    270.23,    265.59,    233.89,    278.12,      0.00,    205.95,     79.44,     47.22,     90.94,    284.95,    252.71,    296.03,    291.72,    259.65,    304.14
75%,    -10.65,    196.07,     69.99,     37.38,     81.58,    276.71,    244.11,    288.30,    283.59,    250.91,    296.27,      0.00,    206.64,     80.63,     48.11,     92.10,    286.46,    254.41,    298.12,    293.67,    261.21,    306.44
max,     99.68,    308.39,    182.61,    150.30,    194.24,    391.32,    359.01,    402.95,    398.40,    366.12,    411.33,      0.00,    208.71,     82.93,     50.62,     94.56,    291.64,    259.33,    303.27,    298.72,    266.44,    311.65
 2deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    229.67,    423.93,    307.98,    287.79,    326.28,    502.23,    482.04,    520.54,    508.13,    487.77,    527.03,      0.00,    194.25,     78.30,     58.11,     96.61,    272.55,    252.37,    290.86,    278.46,    258.10,    297.36
std,     86.23,     87.63,     88.40,     88.52,     88.71,     89.79,     89.92,     90.10,     89.48,     89.77,     89.87,      0.00,      1.68,      3.05,      2.55,      3.22,      4.07,      3.87,      4.29,      3.71,      3.72,      4.02
min,     85.27,    277.02,    160.88,    139.82,    178.75,    352.64,    331.58,    370.51,    359.47,    337.48,    377.60,      0.00,    191.07,     72.91,     53.82,     91.40,    265.01,    245.63,    283.26,    271.36,    251.93,    290.31
25%,    177.81,    370.03,    256.55,    235.70,    274.86,    448.77,    427.92,    467.08,    454.70,    433.78,    473.48,      0.00,    193.17,     75.99,     56.29,     93.87,    269.82,    250.19,    288.15,    275.92,    255.95,    294.40
50%,    236.49,    430.31,    316.69,    295.63,    335.05,    510.51,    489.45,    528.87,    516.17,    495.30,    535.21,      0.00,    194.50,     78.84,     57.85,     97.12,    272.09,    252.19,    290.28,    277.90,    257.67,    296.79
75%,    272.96,    467.58,    354.22,    332.73,    372.49,    548.69,    527.35,    567.11,    554.25,    532.95,    573.23,      0.00,    195.38,     80.80,     59.88,     98.92,    275.88,    254.39,    294.15,    281.28,    259.99,    300.27
max,    457.74,    655.49,    542.86,    522.08,    561.55,    740.61,    719.84,    759.30,    745.41,    725.07,    765.10,      0.00,    197.75,     85.12,     64.34,    103.81,    282.87,    262.10,    301.56,    287.67,    267.33,    307.36
2deg, lowQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    230.28,    443.83,    315.45,    281.62,    327.48,    529.00,    495.17,    541.03,    534.91,    501.94,    548.29,      0.00,    213.55,     85.17,     51.34,     97.20,    298.72,    264.89,    310.75,    304.63,    271.66,    318.01
std,     89.35,     91.23,     91.52,     91.62,     91.92,     93.40,     93.50,     93.79,     92.97,     93.47,     93.45,      0.00,      2.08,      3.11,      2.51,      3.36,      4.54,      4.31,      4.87,      4.09,      4.28,      4.50
min,     78.72,    288.96,    160.95,    126.53,    172.55,    371.19,    336.77,    382.79,    378.34,    343.76,    390.93,      0.00,    209.41,     79.34,     47.13,     91.36,    290.47,    257.13,    301.99,    296.53,    263.92,    309.47
25%,    176.54,    387.74,    262.22,    227.61,    274.06,    473.42,    438.81,    485.26,    479.56,    445.78,    492.72,      0.00,    212.34,     82.35,     49.80,     94.37,    295.74,    262.34,    307.39,    301.74,    269.27,    314.89
50%,    236.02,    449.29,    323.09,    288.38,    335.01,    536.36,    501.65,    548.28,    542.06,    508.41,    555.39,      0.00,    213.68,     85.71,     51.07,     97.55,    298.30,    264.57,    309.98,    304.48,    271.10,    317.48
75%,    275.92,    490.12,    364.58,    329.16,    376.66,    578.79,    543.36,    590.87,    584.02,    549.78,    597.48,      0.00,    214.52,     87.69,     53.14,     99.64,    302.38,    267.45,    314.80,    307.85,    273.86,    321.56
max,    462.73,    680.97,    554.68,    520.15,    567.28,    772.92,    738.39,    785.52,    778.12,    745.35,    792.17,      0.00,    218.24,     91.95,     57.42,    104.55,    310.18,    275.66,    322.78,    315.38,    282.62,    329.43
2deg, highQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    213.87,    405.57,    292.54,    273.47,    310.85,    484.24,    465.17,    502.55,    490.06,    470.88,    508.96,      0.00,    191.70,     78.67,     59.60,     96.98,    270.37,    251.30,    288.69,    276.19,    257.01,    295.09
std,     85.54,     86.83,     87.57,     87.75,     87.88,     88.85,     89.04,     89.16,     88.55,     88.93,     88.94,      0.00,      1.57,      2.94,      2.46,      3.10,      3.84,      3.70,      4.05,      3.52,      3.58,      3.81
min,     71.38,    260.99,    145.57,    127.03,    163.53,    335.18,    316.64,    353.13,    341.28,    322.54,    359.87,      0.00,    188.31,     73.22,     55.65,     91.80,    262.74,    244.60,    281.11,    268.86,    250.37,    287.69
25%,    162.81,    352.76,    241.80,    222.15,    260.12,    431.75,    412.10,    450.07,    437.54,    418.02,    456.42,      0.00,    190.60,     76.29,     57.80,     94.27,    268.06,    248.94,    285.99,    274.02,    254.84,    292.40
50%,    221.09,    413.34,    301.86,    281.84,    320.25,    493.38,    473.41,    511.77,    498.75,    479.18,    517.72,      0.00,    191.73,     79.14,     59.31,     97.37,    269.42,    251.13,    287.71,    275.55,    256.76,    294.58
75%,    255.95,    447.74,    337.60,    316.90,    355.80,    529.40,    508.70,    547.59,    534.67,    514.34,    553.47,      0.00,    192.77,     81.24,     61.07,     99.49,    273.73,    252.98,    291.84,    278.70,    258.60,    297.74
max,    440.71,    635.28,    525.17,    506.34,    544.03,    719.74,    700.91,    738.60,    725.09,    706.42,    744.63,      0.00,    194.71,     84.46,     65.63,    103.32,    279.03,    260.20,    297.89,    284.38,    265.71,    303.92
2deg, highQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    213.23,    424.31,    299.43,    266.44,    311.51,    510.50,    477.51,    522.59,    516.40,    484.20,    529.79,      0.00,    211.08,     86.19,     53.20,     98.28,    297.27,    264.28,    309.35,    303.16,    270.96,    316.55
std,     88.38,     90.17,     90.48,     90.65,     90.88,     92.26,     92.44,     92.66,     91.80,     92.35,     92.26,      0.00,      2.01,      3.06,      2.51,      3.35,      4.37,      4.23,      4.72,      3.90,      4.15,      4.31
min,     63.79,    272.17,    147.21,    113.60,    158.80,    355.60,    321.98,    367.18,    362.66,    328.83,    375.26,      0.00,    206.67,     80.47,     49.23,     92.42,    288.75,    256.21,    300.41,    295.05,    263.12,    307.98
25%,    159.97,    369.02,    246.76,    212.81,    258.63,    455.81,    421.87,    467.68,    461.85,    428.65,    474.99,      0.00,    209.81,     83.51,     51.41,     95.36,    294.21,    261.84,    306.14,    300.46,    268.68,    313.51
50%,    219.75,    431.64,    307.48,    273.53,    319.50,    518.39,    485.31,    530.41,    523.97,    491.93,    537.32,      0.00,    211.06,     86.76,     52.84,     98.63,    296.64,    264.12,    308.38,    302.59,    270.59,    315.79
75%,    257.51,    468.79,    346.95,    312.25,    359.11,    558.23,    523.53,    570.39,    563.36,    530.08,    576.85,      0.00,    212.41,     88.82,     54.83,    100.76,    300.67,    266.31,    312.95,    305.91,    272.83,    319.65
max,    443.10,    658.49,    536.11,    502.66,    548.73,    751.50,    718.05,    764.12,    756.50,    724.63,    770.46,      0.00,    215.39,     93.01,     59.57,    105.63,    308.40,    274.96,    321.02,    313.40,    281.53,    327.36
