1p5deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    213.87,    405.57,    263.57,    273.47,    289.52,    455.27,    465.17,    481.22,    459.92,    470.88,    486.87,      0.00,    191.70,     49.70,     59.60,     75.65,    241.40,    251.30,    267.36,    246.06,    257.01,    273.00
std,     85.54,     86.83,     87.12,     87.75,     87.63,     88.40,     89.04,     88.91,     88.17,     88.93,     88.76,      0.00,      1.57,      2.11,      2.46,      2.49,      3.19,      3.70,      3.62,      2.96,      3.58,      3.46
min,     71.38,    260.99,    117.49,    127.03,    142.94,    307.10,    316.64,    332.55,    311.93,    322.54,    338.49,      0.00,    188.31,     46.11,     55.65,     71.56,    234.65,    244.60,    260.51,    239.56,    250.37,    266.31
25%,    162.81,    352.76,    212.50,    222.15,    238.29,    402.45,    412.10,    428.24,    407.11,    418.02,    433.94,      0.00,    190.60,     48.05,     57.80,     73.84,    239.49,    248.94,    265.18,    244.42,    254.84,    270.88
50%,    221.09,    413.34,    272.31,    281.84,    298.34,    463.82,    473.41,    489.86,    468.18,    479.18,    495.15,      0.00,    191.73,     49.85,     59.31,     75.50,    241.22,    251.13,    266.79,    245.85,    256.76,    272.90
75%,    255.95,    447.74,    307.40,    316.90,    333.29,    499.20,    508.70,    525.08,    503.42,    514.34,    530.37,      0.00,    192.77,     51.34,     61.07,     77.32,    243.48,    252.98,    269.38,    247.82,    258.60,    274.83
max,    440.71,    635.28,    494.80,    506.34,    522.04,    689.37,    700.91,    716.61,    693.75,    706.42,    721.99,      0.00,    194.71,     54.09,     65.63,     81.33,    248.66,    260.20,    275.90,    253.04,    265.71,    281.28
2deg, highQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    213.23,    424.31,    270.77,    266.44,    287.53,    481.85,    477.51,    498.61,    486.38,    484.20,    504.97,      0.00,    211.08,     57.54,     53.20,     74.30,    268.62,    264.28,    285.37,    273.14,    270.96,    291.73
std,     88.38,     90.17,     89.98,     90.65,     90.56,     91.76,     92.44,     92.35,     91.40,     92.35,     92.10,      0.00,      2.01,      2.18,      2.51,      2.66,      3.67,      4.23,      4.22,      3.31,      4.15,      3.96
min,     63.79,    272.17,    119.40,    113.60,    135.30,    327.79,    321.98,    343.68,    333.28,    328.83,    350.61,      0.00,    206.67,     53.89,     49.23,     70.26,    261.01,    256.21,    277.26,    265.90,    263.12,    283.91
25%,    159.97,    369.02,    217.80,    212.81,    234.22,    426.85,    421.87,    443.28,    431.51,    428.65,    449.74,      0.00,    209.81,     55.83,     51.41,     72.47,    266.47,    261.84,    282.98,    271.07,    268.68,    289.45
50%,    219.75,    431.64,    278.25,    273.53,    295.05,    489.21,    485.31,    506.03,    493.89,    491.93,    512.38,      0.00,    211.06,     57.78,     52.84,     74.23,    268.60,    264.12,    284.96,    273.33,    270.59,    291.55
75%,    257.51,    468.79,    317.02,    312.25,    333.88,    528.30,    523.53,    545.16,    532.27,    530.08,    551.01,      0.00,    212.41,     59.17,     54.83,     75.95,    271.08,    266.31,    287.95,    275.15,    272.83,    294.01
max,    443.10,    658.49,    505.97,    502.66,    523.73,    721.36,    718.05,    739.12,    725.23,    724.63,    744.96,      0.00,    215.39,     62.87,     59.57,     80.64,    278.26,    274.96,    296.03,    282.13,    281.53,    301.86
