1p5deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,     -9.66,    179.44,     33.92,     42.57,     59.62,    223.01,    231.67,    248.71,    228.43,    237.83,    255.05,      0.00,    189.10,     43.57,     52.23,     69.27,    232.67,    241.33,    258.37,    238.09,    247.48,    264.70
std,     46.64,     47.08,     47.76,     48.10,     48.14,     48.19,     48.53,     48.57,     48.00,     48.37,     48.43,      0.00,      1.08,      1.55,      1.69,      1.80,      2.00,      2.19,      2.26,      1.88,      2.02,      2.14
min,    -85.10,    103.08,    -42.55,    -34.83,    -17.40,    145.64,    153.36,    170.78,    151.73,    159.80,    177.59,      0.00,    187.29,     40.97,     49.60,     66.34,    229.01,    237.68,    254.74,    234.82,    244.27,    261.33
25%,    -44.01,    145.21,     -2.97,      5.91,     22.34,    186.25,    195.14,    211.60,    192.19,    201.36,    218.56,      0.00,    188.20,     42.59,     51.01,     67.77,    231.19,    239.58,    256.48,    236.75,    245.94,    262.97
50%,     -5.95,    182.86,     38.23,     46.88,     63.87,    227.01,    235.65,    252.64,    232.11,    241.69,    258.73,      0.00,    189.14,     43.77,     52.38,     69.38,    232.72,    241.20,    258.07,    237.92,    247.11,    264.30
75%,      9.89,    200.26,     54.60,     63.04,     80.24,    244.80,    253.24,    270.45,    249.83,    259.14,    276.34,      0.00,    189.84,     44.51,     53.26,     70.49,    233.79,    242.64,    259.94,    239.49,    248.68,    266.13
max,    120.90,    311.92,    167.79,    176.83,    194.24,    358.81,    367.85,    385.26,    364.00,    373.40,    391.42,      0.00,    191.02,     46.89,     55.94,     73.34,    237.91,    246.95,    264.36,    243.10,    252.50,    270.52
1p5deg, lowQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -20.58,    186.79,     30.36,     24.60,     46.00,    237.73,    231.97,    253.37,    243.13,    238.95,    260.47,      0.00,    207.37,     50.94,     45.18,     66.58,    258.31,    252.55,    273.95,    263.71,    259.54,    281.05
std,     47.76,     48.55,     48.93,     49.21,     49.30,     49.71,     49.99,     50.08,     49.47,     49.86,     49.88,      0.00,      1.25,      1.62,      1.65,      1.88,      2.36,      2.48,      2.64,      2.19,      2.39,      2.46
min,   -100.38,    106.28,    -50.53,    -57.22,    -35.30,    156.12,    149.43,    171.36,    161.97,    156.59,    178.60,      0.00,    204.95,     47.72,     42.81,     63.05,    253.48,    247.79,    269.06,    259.18,    255.03,    276.52
25%,    -53.09,    153.63,     -5.14,    -10.18,     10.10,    201.90,    196.86,    217.14,    207.59,    203.90,    224.46,      0.00,    206.31,     49.86,     44.00,     65.13,    256.86,    250.87,    272.21,    262.56,    257.96,    279.68
50%,    -16.57,    190.46,     34.85,     28.96,     50.38,    241.88,    235.99,    257.41,    247.06,    242.86,    264.29,      0.00,    207.24,     50.92,     45.31,     66.72,    258.17,    252.25,    273.40,    263.42,    259.37,    280.58
75%,      0.83,    209.39,     52.82,     46.92,     68.60,    261.38,    255.48,    277.16,    266.65,    262.45,    284.14,      0.00,    208.05,     52.18,     46.34,     67.92,    259.80,    253.92,    275.76,    265.25,    260.85,    282.66
max,    110.49,    321.10,    164.84,    159.52,    181.09,    375.45,    370.13,    391.70,    380.49,    376.91,    398.42,      0.00,    210.61,     54.35,     49.03,     70.59,    264.96,    259.64,    281.21,    270.00,    266.42,    287.93
1p5deg, highQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -18.91,    168.73,     25.27,     35.00,     51.02,    212.92,    222.64,    238.66,    218.18,    228.72,    244.85,      0.00,    187.64,     44.18,     53.91,     69.93,    231.83,    241.55,    257.57,    237.09,    247.63,    263.76
std,     46.40,     46.81,     47.39,     47.79,     47.78,     47.79,     48.19,     48.18,     47.61,     48.07,     48.02,      0.00,      1.05,      1.45,      1.61,      1.70,      1.86,      2.08,      2.11,      1.75,      1.97,      1.98
min,    -93.64,     92.67,    -51.29,    -41.48,    -25.47,    134.84,    144.65,    160.66,    140.26,    150.87,    166.90,      0.00,    185.75,     41.49,     51.49,     66.82,    228.29,    238.11,    254.11,    233.72,    244.33,    260.35
25%,    -51.54,    136.23,     -9.99,     -0.04,     15.30,    177.99,    187.94,    203.29,    183.32,    194.15,    209.51,      0.00,    186.83,     43.33,     52.60,     68.39,    230.59,    239.95,    256.02,    236.05,    246.23,    262.46
50%,    -14.27,    173.30,     30.42,     40.20,     56.15,    218.02,    227.80,    243.75,    223.07,    233.64,    249.64,      0.00,    187.69,     44.48,     54.14,     70.16,    231.64,    241.28,    257.31,    237.03,    247.24,    263.49
75%,     -0.02,    188.45,     45.40,     54.89,     71.02,    233.88,    243.36,    259.49,    238.84,    249.44,    265.55,      0.00,    188.34,     45.13,     54.94,     71.11,    233.06,    242.67,    258.89,    238.25,    248.84,    264.95
max,    111.64,    301.33,    158.39,    168.83,    184.81,    348.07,    358.51,    374.49,    352.99,    364.23,    380.28,      0.00,    189.69,     46.74,     57.50,     73.36,    236.43,    246.87,    262.85,    241.35,    252.59,    268.64
1p5deg, highQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -31.06,    174.90,     21.06,     16.05,     36.77,    227.01,    222.00,    242.72,    232.38,    228.91,    249.75,      0.00,    205.96,     52.11,     47.11,     67.82,    258.07,    253.06,    273.78,    263.44,    259.97,    280.81
std,     47.29,     47.98,     48.36,     48.65,     48.73,     49.04,     49.34,     49.41,     48.89,     49.30,     49.30,      0.00,      1.23,      1.54,      1.56,      1.79,      2.21,      2.35,      2.48,      2.11,      2.32,      2.37
min,   -110.11,     95.39,    -58.91,    -64.90,    -43.80,    146.59,    140.60,    161.70,    152.37,    147.56,    169.02,      0.00,    203.60,     48.97,     44.73,     64.44,    253.49,    248.62,    269.24,    259.21,    255.64,    276.41
25%,    -61.81,    143.11,    -11.80,    -16.11,      3.56,    194.17,    189.72,    209.58,    199.57,    196.63,    216.68,      0.00,    204.88,     51.20,     45.95,     66.32,    256.60,    251.19,    271.88,    262.31,    258.42,    279.33
50%,    -26.72,    178.88,     26.24,     21.20,     41.89,    232.12,    226.92,    247.88,    237.35,    233.89,    254.67,      0.00,    205.95,     52.21,     47.22,     68.10,    257.88,    252.71,    273.49,    263.27,    259.65,    280.52
75%,    -10.65,    196.07,     42.46,     37.38,     58.43,    249.18,    244.11,    265.16,    254.44,    250.91,    271.94,      0.00,    206.64,     53.21,     48.11,     69.15,    259.47,    254.41,    275.43,    264.84,    261.21,    282.23
max,     99.68,    308.39,    154.78,    150.30,    171.04,    363.49,    359.01,    379.75,    369.05,    366.12,    387.11,      0.00,    208.71,     55.10,     50.62,     71.36,    263.81,    259.33,    280.07,    269.37,    266.44,    287.43
 2deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    229.67,    423.93,    278.90,    287.79,    304.87,    473.16,    482.04,    499.12,    477.91,    487.77,    504.88,      0.00,    194.25,     49.23,     58.11,     75.19,    243.48,    252.37,    269.45,    248.24,    258.10,    275.20
std,     86.23,     87.63,     87.94,     88.52,     88.46,     89.33,     89.92,     89.86,     89.08,     89.77,     89.69,      0.00,      1.68,      2.23,      2.55,      2.63,      3.41,      3.87,      3.86,      3.14,      3.72,      3.68
min,     85.27,    277.02,    132.54,    139.82,    157.64,    324.30,    331.58,    349.39,    329.81,    337.48,    355.55,      0.00,    191.07,     45.28,     53.82,     70.82,    236.80,    245.63,    262.54,    241.95,    251.93,    268.90
25%,    177.81,    370.03,    227.16,    235.70,    252.96,    419.38,    427.92,    445.17,    424.20,    433.78,    450.93,      0.00,    193.17,     47.62,     56.29,     73.20,    241.39,    250.19,    267.13,    246.39,    255.95,    273.10
50%,    236.49,    430.31,    287.04,    295.63,    313.03,    480.86,    489.45,    506.85,    485.41,    495.30,    512.55,      0.00,    194.50,     49.54,     57.85,     75.15,    243.53,    252.19,    269.07,    248.08,    257.67,    274.88
75%,    272.96,    467.58,    323.98,    332.73,    350.10,    518.60,    527.35,    544.72,    523.08,    532.95,    550.17,      0.00,    195.38,     50.79,     59.88,     76.98,    245.64,    254.39,    271.76,    250.12,    259.99,    277.54
max,    457.74,    655.49,    512.40,    522.08,    539.48,    710.15,    719.84,    737.23,    713.96,    725.07,    742.39,      0.00,    197.75,     54.66,     64.34,     81.74,    252.41,    262.10,    279.49,    256.22,    267.33,    284.65
2deg, lowQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    230.28,    443.83,    286.69,    281.62,    303.41,    500.24,    495.17,    516.96,    504.79,    501.94,    523.41,      0.00,    213.55,     56.41,     51.34,     73.13,    269.95,    264.89,    286.68,    274.51,    271.66,    293.13
std,     89.35,     91.23,     91.02,     91.62,     91.60,     92.89,     93.50,     93.47,     92.56,     93.47,     93.28,      0.00,      2.08,      2.23,      2.51,      2.69,      3.83,      4.31,      4.36,      3.49,      4.28,      4.16
min,     78.72,    288.96,    133.03,    126.53,    148.97,    343.28,    336.77,    359.21,    348.86,    343.76,    366.17,      0.00,    209.41,     52.68,     47.13,     68.98,    262.60,    257.13,    278.75,    267.26,    263.92,    285.33
25%,    176.54,    387.74,    233.15,    227.61,    249.57,    444.35,    438.81,    460.77,    449.13,    445.78,    467.43,      0.00,    212.34,     54.65,     49.80,     71.40,    267.77,    262.34,    284.15,    272.28,    269.27,    290.61
50%,    236.02,    449.29,    293.76,    288.38,    310.46,    507.03,    501.65,    523.73,    511.40,    508.41,    530.09,      0.00,    213.68,     56.61,     51.07,     73.06,    269.44,    264.57,    286.06,    274.23,    271.10,    292.55
75%,    275.92,    490.12,    334.75,    329.16,    351.52,    548.96,    543.36,    565.73,    552.92,    549.78,    571.61,      0.00,    214.52,     58.03,     53.14,     74.89,    272.73,    267.45,    289.81,    277.02,    273.86,    295.92
max,    462.73,    680.97,    524.42,    520.15,    542.22,    742.66,    738.39,    760.46,    746.74,    745.35,    766.59,      0.00,    218.24,     61.69,     57.42,     79.49,    279.93,    275.66,    297.73,    284.01,    282.62,    303.86
2deg, highQ10, lowO3:
