1p5deg: 
Global: 
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00
mean,    -20.05,    177.46,     27.65,     29.55,     48.35,    225.17,    227.07,    245.87,    230.53,    233.60,    252.53,      0.00,    197.52,     47.70,     49.61,     68.40,    245.22,    247.12,    265.92,    250.58,    253.65,    272.58
std,     47.12,     47.54,     47.83,     48.95,     48.66,     48.96,     48.70,     48.84,     48.79,     48.60,     48.72,      0.00,      9.28,      4.16,      3.93,      2.20,     13.19,      6.14,      8.32,     13.19,      6.49,      8.68
min,   -110.11,     92.67,    -58.91,    -64.90,    -43.80,    134.84,    140.60,    160.66,    140.26,    147.56,    166.90,      0.00,    185.75,     40.97,     42.81,     63.05,    228.29,    237.68,    254.11,    233.72,    244.27,    260.35
25%,    -54.58,    142.08,     -8.10,     -7.81,     11.47,    186.82,    190.49,    208.99,    192.47,    197.35,    215.86,      0.00,    188.24,     44.08,     46.21,     66.87,    232.07,    241.23,    257.73,    237.62,    247.19,    263.93
50%,    -17.03,    180.35,     33.24,     30.46,     50.65,    226.31,    232.11,    250.12,    231.77,    238.51,    256.23,      0.00,    197.31,     47.30,     49.77,     68.33,    245.69,    247.37,    266.71,    251.14,    253.81,    273.47
75%,      4.91,    202.76,     51.54,     56.76,     73.71,    251.94,    251.45,    270.11,    257.25,    257.68,    276.88,      0.00,    206.45,     51.84,     53.00,     70.15,    258.04,    252.43,    273.48,    263.31,    259.43,    280.54
max,    120.90,    321.10,    167.79,    176.83,    194.24,    375.45,    370.13,    391.70,    380.49,    376.91,    398.42,      0.00,    210.61,     55.10,     57.50,     73.36,    264.96,    259.64,    281.21,    270.00,    266.44,    287.93
2deg: 
Global: 
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00
mean,    221.76,    424.41,    274.98,    277.33,    296.33,    477.63,    479.97,    498.98,    482.25,    486.20,    505.03,      0.00,    202.65,     53.22,     55.56,     74.57,    255.86,    258.21,    277.21,    260.49,    264.43,    283.27
std,     86.80,     89.03,     88.46,     89.02,     88.93,     91.06,     90.86,     91.04,     90.77,     90.81,     90.89,      0.00,      9.95,      4.37,      4.22,      2.76,     13.95,      7.55,      9.74,     13.80,      7.94,      9.99
min,     63.79,    260.99,    117.49,    113.60,    135.30,    307.10,    316.64,    332.55,    311.93,    322.54,    338.49,      0.00,    188.31,     45.28,     47.13,     68.98,    234.65,    244.60,    260.51,    239.56,    250.37,    266.31
25%,    169.32,    369.00,    219.46,    224.00,    241.86,    421.17,    423.31,    443.86,    425.89,    430.18,    449.80,      0.00,    192.93,     49.68,     52.08,     72.53,    241.91,    251.64,    268.00,    246.79,    257.25,    273.55
50%,    228.43,    429.01,    281.18,    285.35,    303.02,    480.86,    485.31,    503.63,    485.54,    491.02,    509.43,      0.00,    202.21,     53.09,     55.71,     74.50,    256.71,    258.21,    277.65,    261.06,    264.59,    284.28
75%,    269.11,    470.70,    324.53,    327.57,    345.35,    524.53,    527.47,    546.43,    528.60,    533.10,    551.78,      0.00,    212.35,     57.24,     58.84,     76.60,    268.68,    264.28,    285.28,    273.46,    271.04,    291.88
max,    462.73,    680.97,    524.42,    522.08,    542.22,    742.66,    738.39,    760.46,    746.74,    745.35,    766.59,      0.00,    218.24,     62.87,     65.63,     81.74,    279.93,    275.66,    297.73,    284.01,    282.62,    303.86
